structure_name,entity_id,entity_type,experiment_name,timestamp,lattice_a,lattice_b,lattice_c,alpha,beta,gamma,metal_B,halogen_X,total_atoms,total_octahedra,cell_volume,cutoff_ref_ligand,central_atom_index,central_atom_symbol,central_x,central_y,central_z,zeta,delta,sigma,theta_mean,theta_min,theta_max,mean_bond_distance,bond_distance_variance,octahedral_volume,is_octahedral,num_axial_ligands,num_equatorial_ligands,total_ligands,axial_central_axial_angle,deviation_from_180,is_linear,total_axial_bridges,total_equatorial_bridges,avg_axial_central_axial_angle,avg_central_equatorial_central_angle,cis_angle_mean,cis_angle_std,cis_angle_min,cis_angle_max,trans_angle_mean,trans_angle_std,trans_angle_min,trans_angle_max,bond_distance_min,bond_distance_max,bond_distance_range,molecular_formula,num_atoms,molecular_size_max,molecular_size_mean,is_spacer_molecule,is_a_site_molecule,mol_H_count,mol_C_count,mol_N_count,mol_O_count,mol_F_count,mol_S_count,mol_Cl_count,mol_Br_count,mol_I_count,vector_angle_between_planes_deg,vector_distance_between_centers_angstrom,vector_low_plane_vs_z_axis_deg,vector_high_plane_vs_z_axis_deg,vector_analysis_available,penetration_mol1_formula,penetration_mol1_n1_to_low,penetration_mol1_low_to_high,penetration_mol1_high_to_n2,penetration_mol1_total_length,penetration_mol2_formula,penetration_mol2_n1_to_low,penetration_mol2_low_to_high,penetration_mol2_high_to_n2,penetration_mol2_total_length,penetration_n1_to_low_diff,penetration_low_to_high_diff,penetration_high_to_n2_diff,penetration_analysis_available,spacer_total_H,spacer_total_C,spacer_total_N,perovskite_name,halogen,n_slab,molecule_name,contcar_path,penetration_n1_to_low,penetration_low_to_high,penetration_high_to_n2,penetration_total_length,penetration_length_difference,penetration_n1_x,penetration_n1_y,penetration_n1_z,penetration_n2_x,penetration_n2_y,penetration_n2_z,analysis_timestamp
MAPbBr3_n1_CC(C)(CCC[NH3+])CCC[NH3+],molecule_0,molecule,CONTCAR,2025-08-06 13:14:07.193361,7.915944736959874,8.026656612952284,15.121656106688596,96.99333039686515,83.98745448159694,91.3423442408521,Pb,Br,80,2,948.3587703594003,3.5,,MOL,4.52871775107106,3.6886863299518318,7.613690497593778,,,,,,,,,,False,0,0,0,,,False,0,0,,,,,,,,,,,,,,C9H24N2,35.0,13.695144888820689,5.98431466489173,True,False,24,9,2,0,0,0,0,0,0,0.23023089023121193,9.188414559444771,0.3466967158322765,0.5768287695384394,True,,,,,,,,,,,,,,True,48,18,4,MAPbBr3,Br,1,CC(C)(CCC[NH3+])CCC[NH3+],/home/dotempo/Documents/DION-JACOBSON/BULKS/MAPbBr3/MAPbBr3_n1_CC(C)(CCC[NH3+])CCC[NH3+]/CONTCAR,0.02981652575406261,11.694680580249251,0.057063760848238,11.60780029364695,0.1737605732046017,7.6966367259488315,4.331183280425236,2.887915377580496,1.0826305356145658,2.8568313395781466,12.312470333966004,2025-08-06T13:16:20.930085
MAPbBr3_n1_[NH3+]C1CCC([NH3+])CC1,molecule_0,molecule,CONTCAR,2025-08-06 13:14:07.482670,7.74130408698062,8.580560706006267,10.622736498047686,95.8391426339929,93.35852717154083,91.06520963123516,Pb,Br,58,2,700.5315274705717,3.5,,MOL,3.725589247430517,4.001975028416998,5.020875364446288,,,,,,,,,,False,0,0,0,,,False,0,0,,,,,,,,,,,,,,C6H16N2,24.0,9.966443388842713,5.090443548940238,True,False,16,6,2,0,0,0,0,0,0,0.02307372501752376,7.326943267930066,2.425908429210306,2.448953596630631,True,,,,,,,,,,,,,,True,32,12,4,MAPbBr3,Br,1,[NH3+]C1CCC([NH3+])CC1,/home/dotempo/Documents/DION-JACOBSON/BULKS/MAPbBr3/MAPbBr3_n1_[NH3+]C1CCC([NH3+])CC1/CONTCAR,0.054773802842387205,8.454915026595119,0.0602334809330106,8.569922310370517,0.0,0.41214364077126414,4.97260039452097,2.4836674851728855,7.03970426992434,3.0318134319521906,7.558345256086964,2025-08-06T13:16:20.930085
MAPbBr3_n1_CC(C)(CCC[NH3+])C(C)(C)CCC[NH3,molecule_0,molecule,CONTCAR,2025-08-06 13:14:09.953899,8.735371534193925,7.928218678913921,15.378933549372238,76.90022158970177,100.72634341846363,90.09294249457704,Pb,Br,98,2,1018.3241202041411,3.5,,MOL,3.6552121181915767,5.0094344438508,7.6761109492657145,,,,,,,,,,False,0,0,0,,,False,0,0,,,,,,,,,,,,,,C12H30N2,44.0,16.036334624634502,6.189532607717217,True,False,30,12,2,0,0,0,0,0,0,0.00883174370517861,9.031981007045738,16.80554083587336,16.797331358813704,True,,,,,,,,,,,,,,True,60,24,4,MAPbBr3,Br,1,CC(C)(CCC[NH3+])C(C)(C)CCC[NH3+],/home/dotempo/Documents/DION-JACOBSON/BULKS/MAPbBr3/MAPbBr3_n1_CC(C)(CCC[NH3+])C(C)(C)CCC[NH3+]/CONTCAR,0.8356372037517525,10.353736303601815,0.836904643327552,12.026278150681119,1.7763568394002505e-15,0.6719154165736737,3.2472827822580044,2.7610543410853876,6.6368754285608285,6.767238161589113,12.592663178933966,2025-08-06T13:16:20.930085
MAPbBr3_n1_CC(C)(CC[NH3+])C(C)(C)CC[NH3+],molecule_0,molecule,CONTCAR,2025-08-06 13:14:13.953149,8.627781621820926,7.749455494856789,13.61849215000745,91.02395574744583,86.68660691081023,89.66953246427725,Pb,Br,86,2,908.8523133760634,3.5,,MOL,4.4950111456091175,3.868032946713717,6.93541616842913,,,,,,,,,,False,0,0,0,,,False,0,0,,,,,,,,,,,,,,C10H26N2,38.0,12.582933204467068,5.759509277130852,True,False,26,10,2,0,0,0,0,0,0,3.3181575842461,8.205604631981975,2.1036862070964792,2.9875152961821207,True,,,,,,,,,,,,,,True,52,20,4,MAPbBr3,Br,1,CC(C)(CC[NH3+])C(C)(C)CC[NH3+],/home/dotempo/Documents/DION-JACOBSON/BULKS/MAPbBr3/MAPbBr3_n1_CC(C)(CC[NH3+])C(C)(C)CC[NH3+]/CONTCAR,0.47001770368904394,9.703917694150478,0.550779949913688,10.72471534775321,0.0,8.051743055664963,3.767842591083866,2.7425400990523716,1.3833774220170298,3.983620949910632,11.139316788126488,2025-08-06T13:16:20.930085
MAPbBr3_n1_[NH3+]CCCCC[NH3+],molecule_0,molecule,CONTCAR,2025-08-06 13:14:15.736267,7.950999775327182,7.980077278336999,12.675718310654702,89.86711639634585,90.02480169581055,89.72636291018745,Pb,Br,56,2,804.2577487903803,3.5,,MOL,4.441897349779252,3.925992414121103,6.373105158983088,,,,,,,,,,False,0,0,0,,,False,0,0,,,,,,,,,,,,,,C5H16N2,23.0,11.46755011840191,5.902126530630948,True,False,16,5,2,0,0,0,0,0,0,0.02496147040121085,6.581034062716917,0.11272477748700001,0.08776740866677533,True,,,,,,,,,,,,,,True,32,10,4,MAPbBr3,Br,1,[NH3+]CCCCC[NH3+],/home/dotempo/Documents/DION-JACOBSON/BULKS/MAPbBr3/MAPbBr3_n1_[NH3+]CCCCC[NH3+]/CONTCAR,0.4121146572379951,6.5831739828575815,0.4206647607888512,7.415953400884428,0.0,0.22748824701680098,4.176612118743074,2.680546187501155,0.2266409674483103,4.21726754258805,10.096388099429877,2025-08-06T13:16:20.930085
MAPbBr3_n1_CC(C)(CCCC[NH3+])CCCC[NH3+],molecule_0,molecule,CONTCAR,2025-08-06 13:14:16.218082,7.917802740665827,8.164178533328936,17.267468822873486,87.62665459745766,88.79168868139075,90.13573069872977,Pb,Br,92,2,1114.9985048887652,3.5,,MOL,4.6614321497488955,3.9018287700656815,8.82964956131871,,,,,,,,,,False,0,0,0,,,False,0,0,,,,,,,,,,,,,,C11H28N2,41.0,14.805563760208551,6.71551072414359,True,False,28,11,2,0,0,0,0,0,0,0.13906778026149436,11.177833254366217,2.6602759143864634,2.5218453356447443,True,,,,,,,,,,,,,,True,56,22,4,MAPbBr3,Br,1,CC(C)(CCCC[NH3+])CCCC[NH3+],/home/dotempo/Documents/DION-JACOBSON/BULKS/MAPbBr3/MAPbBr3_n1_CC(C)(CCCC[NH3+])CCCC[NH3+]/CONTCAR,0.4505164426446734,11.19068346118989,0.5856035848502452,12.226803488684808,0.0,0.3880925575350631,4.5939843111582475,2.638990598446244,0.6058606370533898,5.10189149925779,14.853299048077549,2025-08-06T13:16:20.930085
MAPbBr3_n1_CC(C)(C[NH3+])C[NH3+],molecule_0,molecule,CONTCAR,2025-08-06 13:14:18.527319,8.045334444558293,8.313092377806273,10.229526216686203,90.0295903041444,85.4972476287462,89.89371016039739,Pb,Br,56,2,682.0542045226692,3.5,,MOL,3.5857726844968387,4.362719107535813,5.255886354724042,,,,,,,,,,False,0,0,0,,,False,0,0,,,,,,,,,,,,,,C5H16N2,23.0,9.575646905179617,4.795657616836055,True,False,16,5,2,0,0,0,0,0,0,0.22192976445501428,7.26803184907352,3.54541249183431,3.3685330013760706,True,,,,,,,,,,,,,,True,32,10,4,MAPbBr3,Br,1,CC(C)(C[NH3+])C[NH3+],/home/dotempo/Documents/DION-JACOBSON/BULKS/MAPbBr3/MAPbBr3_n1_CC(C)(C[NH3+])C[NH3+]/CONTCAR,0.12434338414042788,7.974330588468581,0.5171013629332788,8.367088567261431,0.24868676828085512,7.688971539802366,3.869563794843083,3.0299943260303053,0.773577286369707,4.920962943344055,7.621296237527626,2025-08-06T13:16:20.930085
MAPbBr3_n1_[NH3+]CC1CCC(C[NH3+])CC1,molecule_0,molecule,CONTCAR,2025-08-06 13:14:19.852867,8.136388820063326,8.185814026680728,12.057180276766184,91.33946547310723,96.8717144115842,92.07245726890038,Pb,Br,70,2,796.4431803987691,3.5,,MOL,2.717526205326618,3.96762293676484,5.87515384406081,,,,,,,,,,False,0,0,0,,,False,0,0,,,,,,,,,,,,,,C8H20N2,30.0,10.658493096542466,5.184948307774821,True,False,20,8,2,0,0,0,0,0,0,1.6362895019756625,7.20975839274794,6.608929308577855,4.996378442019148,True,,,,,,,,,,,,,,True,40,16,4,MAPbBr3,Br,1,[NH3+]CC1CCC(C[NH3+])CC1,/home/dotempo/Documents/DION-JACOBSON/BULKS/MAPbBr3/MAPbBr3_n1_[NH3+]CC1CCC(C[NH3+])CC1/CONTCAR,0.022692046552930337,5.895556814540181,0.5568796244410528,6.475128485534165,0.0,0.2248271455113787,3.901651878415225,2.6150530197453827,0.36707935114917994,4.732179087795472,9.035121381425514,2025-08-06T13:16:20.930085
MAPbBr3_n1_CC(C)(CCCC[NH3+])C(C)(C)CCCC[N,molecule_0,molecule,CONTCAR,2025-08-06 13:14:21.718744,7.806941592311362,8.345247321903612,18.13738153337955,72.01687009254127,90.08541257237886,89.72442942612982,Pb,Br,110,2,1123.9200939523873,3.5,,MOL,4.612757562840886,5.917846705144592,9.658770671674937,,,,,,,,,,False,0,0,0,,,False,0,0,,,,,,,,,,,,,,C14H34N2,50.0,16.490315842527764,6.786038902167968,True,False,34,14,2,0,0,0,0,0,0,0.04622660615397148,11.71742654011259,12.977592387261009,13.02343934514551,True,,,,,,,,,,,,,,True,68,28,4,MAPbBr3,Br,1,CC(C)(CCCC[NH3+])C(C)(C)CCCC[NH3+],/home/dotempo/Documents/DION-JACOBSON/BULKS/MAPbBr3/MAPbBr3_n1_CC(C)(CCCC[NH3+])C(C)(C)CCCC[NH3+]/CONTCAR,0.0024688414000555714,15.663925751169629,0.007505082194884245,15.658889510374802,0.01501016438976599,7.4462054238341535,3.3531878860093767,3.2104458848033524,0.20267698894951305,8.493984277275077,16.106349458213522,2025-08-06T13:16:20.930085
MAPbBr3_n1_[NH3+]CCC1=CC=C(CC[NH3+])C=C1,molecule_0,molecule,CONTCAR,2025-08-06 13:14:22.611235,7.767735890894151,8.124059614949601,15.034847660974094,97.76990513703144,77.99419190364142,90.01230128236728,Pb,Br,70,2,919.1275981382674,3.5,,MOL,4.65838506237535,3.621975462909925,7.654281678832944,,,,,,,,,,False,0,0,0,,,False,0,0,,,,,,,,,,,,,,C10H18N2,30.0,11.982633177293708,5.600759702866014,True,False,18,10,2,0,0,0,0,0,0,0.04930997834070094,8.912429263937415,14.106519869996767,14.144620651323661,True,,,,,,,,,,,,,,True,36,20,4,MAPbBr3,Br,1,[NH3+]CCC1=CC=C(CC[NH3+])C=C1,/home/dotempo/Documents/DION-JACOBSON/BULKS/MAPbBr3/MAPbBr3_n1_[NH3+]CCC1=CC=C(CC[NH3+])C=C1/CONTCAR,0.2530539574042826,9.519787806542455,0.25248805300577737,10.025329816952514,1.7763568394002505e-15,7.009315053807328,4.03254730202092,3.2462084506915545,2.3076909652189115,3.208364760142478,12.062255864694333,2025-08-06T13:16:20.930085
MAPbBr3_n1_[NH3+]CCCC1=CC=C(CCC[NH3+])C=C,molecule_0,molecule,CONTCAR,2025-08-06 13:14:23.677364,8.194507876885162,7.863721061100026,15.822731863529683,76.8277905578165,95.22479815013189,88.62292936640566,Pb,Br,82,2,987.5999102072452,3.5,,MOL,4.652372981539539,4.603225307158482,8.182539993752721,,,,,,,,,,False,0,0,0,,,False,0,0,,,,,,,,,,,,,,C12H22N2,36.0,14.057067353997454,6.330545089380777,True,False,22,12,2,0,0,0,0,0,0,13.882542259697352,9.412677300963217,5.241265317518013,12.570834945752829,True,,,,,,,,,,,,,,True,44,24,4,MAPbBr3,Br,1,[NH3+]CCCC1=CC=C(CCC[NH3+])C=C1,/home/dotempo/Documents/DION-JACOBSON/BULKS/MAPbBr3/MAPbBr3_n1_[NH3+]CCCC1=CC=C(CCC[NH3+])C=C1/CONTCAR,0.1368354362487205,10.902220775589441,0.08427314399557226,10.849658483336293,0.2736708724974406,0.3490550051754927,3.517041574932649,3.1729943355847454,-0.5223880433790367,6.283134397418317,13.62786911797934,2025-08-06T13:16:20.930085
