experiment,halogen_X,n_octahedra,actual_octahedra,A,B,C,Alpha,Beta,Gamma,cell_volume,low_to_high_plane,a_over_b,alpha_over_beta
MAPbI3_n3_[NH3+]CCCCC[NH3+]_analysis,I,3,6,8.608094268701464,8.759514201574795,24.94591901512356,89.86828993645854,90.30655232890992,90.00374946984512,1880.9583510489217,5.8406117521926895,0.9827136608961592,0.9951469480214995
MAPbI3_n2_[NH3+]CCCCCC[NH3+]_analysis,I,2,4,8.794424511634345,8.616741214359845,18.4719555520681,90.20951982432469,78.95898206441656,89.75110904207583,1373.8544883008688,6.677295241640912,1.0206207071622844,1.1424858510806242
MAPbI3_n1_CC(C)(C[NH3+])C[NH3+]_analysis,I,1,2,8.513857745763664,8.924695221540844,10.670464654828029,89.98717700217881,91.71044136033453,89.98970995480842,810.418876057273,8.456394754820419,0.9539662178283048,0.9812097256038173
MAPbCl3_n3_[NH3+]CCC1=CC=C(CC[NH3+])C=C1_analysis,Cl,3,6,7.98417913587729,7.695005287293606,23.858154318038604,87.00034344466175,99.1890037474251,89.06058444012291,1444.555540925011,9.6467601397239,1.0375794216881413,0.8771168189792433
MAPbCl3_n1_[NH3+]C1CCC([NH3+])CC1_analysis,Cl,1,2,8.511141043192492,7.463742996364062,9.955048309903885,82.69716614640947,83.53578997747137,84.0945709681838,620.7541610109008,6.712301381950682,1.1403314727394374,0.9899609038079599
MAPbBr3_n2_[NH3+]CCCCCC[NH3+]_analysis,Br,2,4,8.181113410935891,8.15334923369463,18.68156096709638,83.11855966111968,83.48699983882383,89.44592955169405,1229.1541185874837,8.034587637817618,1.0034052481312248,0.9955868556971091
MAPbCl3_n3_[NH3+]CC1=CC=C(C[NH3+])C=C1_analysis,Cl,3,6,7.802415547055481,7.786065483331947,23.126862732920696,90.53620215757202,91.61750738204857,89.36577587423638,1404.2562740179953,8.645816476912376,1.0020999134618809,0.9881976135852784
MAPbBr3_n2_[NH3+]CCCCCCC[NH3+]_analysis,Br,2,4,8.154864151617204,8.26095685891902,19.667366218282073,98.4953994444594,97.49501321593772,91.52029590448805,1297.779894314975,8.827848787451616,0.9871573342999278,1.010260896383551
MAPbBr3_n1_[NH3+]CCCC1=CC=C(CCC[NH3+])C=C_analysis,Br,1,2,8.194507876885162,7.863721061100026,15.822731863529683,76.8277905578165,95.22479815013189,88.62292936640566,987.5999102072452,10.902220775589441,1.0420649223459184,0.8068044464288537
MAPbI3_n2_[NH3+]CCCCC[NH3+]_analysis,I,2,4,8.515233168028283,8.62462663201727,18.5047948978502,89.8234450421115,90.02043858847475,90.0010167024446,1358.998676907325,5.710247570166711,0.9873161507556879,0.997811679775703
MAPbI3_n3_CC(C)(CC[NH3+])CC[NH3+]_analysis,I,3,6,8.608891515992607,8.744740935350555,25.107756068536904,89.99847734104209,90.16411059880568,89.99579884279737,1890.1675409389165,6.036613709848794,0.9844650149887485,0.9981629801850918
MAPbCl3_n1_[NH3+]CCCCCCCCC[NH3+]_analysis,Cl,1,2,7.835109053105901,7.455660059080379,16.11798180970125,97.9420924554585,114.762625654885,87.53159046036022,846.6567379579357,10.06615391581681,1.0508940846308281,0.8534319591989005
MAPbBr3_n1_CC(C)(CCCC[NH3+])C(C)(C)CCCC[N_analysis,Br,1,2,7.806941592311362,8.345247321903612,18.13738153337955,72.01687009254127,90.08541257237886,89.72442942612982,1123.9200939523873,15.663925751169629,0.9354955331066859,0.7994287647256932
MAPbI3_n3_[NH3+]CCC[NH3+]_analysis,I,3,6,8.538908250001196,8.782534177528268,22.99642759508035,89.9536279846194,90.60191407095387,90.00393272264732,1724.4811934175843,3.9353212718306336,0.9722601788273784,0.9928446756011493
MAPbI3_n1_[NH3+]CCCCCCC[NH3+]_analysis,I,1,2,8.519339064294128,8.67486442982722,15.098868553224175,89.4988312349755,89.75172026133139,90.00983820907344,1115.8152753727638,8.64815595550095,0.9820717237956662,0.9971823489776068
MAPbBr3_n2_CC(C)(CCC[NH3+])CCC[NH3+]_analysis,Br,2,4,8.140628256138156,8.254915087677173,20.178048372548293,97.81474814939082,90.23427133440012,91.7225857644563,1342.7228764904855,10.8032922688015,0.9861552989552099,1.0840088439003197
MAPbBr3_n3_[NH3+]CC1=CC=C(C[NH3+])C=C1_analysis,Br,3,6,8.221076812656383,8.122800974437432,24.537954468789724,93.60064456665665,90.07577216857814,89.26072835016629,1635.228811913486,9.291672818764646,1.012098762302342,1.039132302873648
