layer,property,halogen,n_layers,n_experiments,mean_of_means,std_of_means,mean_of_stds,min_mean,max_mean
Layer 1,zeta,Cl,1,24,0.32125737955651035,0.23610055398277766,0.03710991959832888,0.05626400845312585,0.9852676151437374
Layer 1,zeta,Cl,2,23,0.23290560958721673,0.11001871249219869,0.03786032795183535,0.10642187829725103,0.45311786814472454
Layer 1,zeta,Cl,3,22,0.24764660235012573,0.09297574734800924,0.03517089363397234,0.154969254493748,0.535101209596248
Layer 1,zeta,Br,1,24,0.24618096273665432,0.12407840465882287,0.01559337851364189,0.0230436804581573,0.5448108425455751
Layer 1,zeta,Br,2,24,0.3671425286471353,0.08754283774922506,0.0273300633913648,0.2664685953110233,0.6194519479897249
Layer 1,zeta,Br,3,23,0.3742722653615219,0.09808083375699594,0.021718965726919247,0.23371149005803749,0.5708244466914425
Layer 1,zeta,I,1,23,0.21245486343137723,0.10563271361870119,0.019502790552803757,0.03126148377580695,0.5025083557509491
Layer 1,zeta,I,2,24,0.18152958414710194,0.05810715928477795,0.017846464418459496,0.08023315502988226,0.3085657705620404
Layer 1,zeta,I,3,21,0.23556246821491764,0.04606336615047553,0.010060725122831123,0.15791338125219867,0.3323937342427661
Layer 1,delta,Cl,1,24,0.0007851867389682189,0.0013317937495926774,0.0001767112797654917,1.2446940393502839e-05,0.005673444579979125
Layer 1,delta,Cl,2,23,0.0003485566585736559,0.00030795312192953474,0.00012006564406357729,5.137300495040678e-05,0.0010596869242507543
Layer 1,delta,Cl,3,22,0.00039268875263653196,0.0004187633980409931,0.00011552835489441545,0.00013130992443994256,0.002046404207015564
Layer 1,delta,Br,1,24,0.00030455187899139846,0.00025350709178217077,3.270682854100452e-05,2.103318703907434e-06,0.001125661184996158
Layer 1,delta,Br,2,24,0.0007841274831176492,0.0003818842758477035,9.408701118071192e-05,0.00032352630009974766,0.0016720224755870866
Layer 1,delta,Br,3,23,0.0008296793131715472,0.0004127482086099439,9.628623581644414e-05,0.0002705641351661459,0.0018039214583380403
Layer 1,delta,I,1,23,0.00019818520304550288,0.00019889222526485586,3.0256263367087548e-05,3.1907569062675804e-06,0.0008283810284269596
Layer 1,delta,I,2,24,0.0001426597530037539,9.6422886816604e-05,2.1056599924015345e-05,4.1219541022126025e-05,0.0004135260391761572
Layer 1,delta,I,3,21,0.0002080286121620783,8.413482565940351e-05,1.7598411718868884e-05,9.19090379823297e-05,0.000444737278749585
Layer 1,sigma,Cl,1,24,63.752380571467484,21.572988167266843,6.0436347761153755,28.91279162258148,117.89445038583419
Layer 1,sigma,Cl,2,23,53.324622772814465,18.870904755700746,4.393828394753343,18.99345373871838,87.50533575822038
Layer 1,sigma,Cl,3,22,49.680447823683764,9.81123094884445,5.588505160853947,32.82190932985215,68.84603955942353
Layer 1,sigma,Br,1,24,51.40249089748048,11.586433718883386,3.990508486893635,32.72841655176991,74.16328412699343
Layer 1,sigma,Br,2,24,58.55819320880528,14.466681914495801,4.327545739820716,36.1633322513435,95.33369681464762
Layer 1,sigma,Br,3,23,53.27452600860789,9.962019083400314,4.765659023721318,30.275780653225844,77.5587139576229
Layer 1,sigma,I,1,23,33.50728020866466,14.702472636160632,2.6579090610020093,8.133455020429892,68.96963337326365
Layer 1,sigma,I,2,24,38.568711676380104,14.099475907902443,1.4414476960856513,24.516288160271458,82.29324492420096
Layer 1,sigma,I,3,21,41.4366909641468,3.9993201338030073,1.3897952847894992,34.14931693016645,50.0027050770733
Layer 1,theta_mean,Cl,1,24,193.72940616423747,72.2206082691366,19.137963831003557,85.60106512916353,350.4694412451656
Layer 1,theta_mean,Cl,2,23,164.12463258886356,63.000551475375296,15.5096290689996,60.0667805462098,302.9080580315025
Layer 1,theta_mean,Cl,3,22,150.95272036831963,32.9259338405001,19.650199272451786,100.71343415393281,226.51588744032244
Layer 1,theta_mean,Br,1,24,153.91098954604988,41.82665320116208,12.475738526270902,89.46122592240363,240.54916632406162
Layer 1,theta_mean,Br,2,24,191.70300246719407,58.99824875931682,14.874569588426198,117.3115631634892,366.316643910636
Layer 1,theta_mean,Br,3,23,164.2283339993788,35.174208071604745,14.898773980372873,98.47513105530095,258.5062306306678
Layer 1,theta_mean,I,1,23,98.06180715918092,43.84523943294121,6.845056032355244,23.320889004639763,191.1633350049909
