experiment_name,halogen,n_layers,layer_number,octahedra_count,zeta_mean,zeta_std,zeta_min,zeta_max,zeta_count,delta_mean,delta_std,delta_min,delta_max,delta_count,sigma_mean,sigma_std,sigma_min,sigma_max,sigma_count,theta_mean_mean,theta_mean_std,theta_mean_min,theta_mean_max,theta_mean_count,theta_min_mean,theta_min_std,theta_min_min,theta_min_max,theta_min_count,theta_max_mean,theta_max_std,theta_max_min,theta_max_max,theta_max_count,mean_bond_distance_mean,mean_bond_distance_std,mean_bond_distance_min,mean_bond_distance_max,mean_bond_distance_count,bond_distance_variance_mean,bond_distance_variance_std,bond_distance_variance_min,bond_distance_variance_max,bond_distance_variance_count,octahedral_volume_mean,octahedral_volume_std,octahedral_volume_min,octahedral_volume_max,octahedral_volume_count
MAPbI3_n3_[NH3+]CCCCC[NH3+],I,3,1,2,0.24132696339580573,0.0008128389324171259,0.2405141244633886,0.24213980232822285,2,0.0002137643891361259,1.2735641754973618e-06,0.00021249082496062853,0.00021503795331162325,2,39.55885205766007,0.17799851972878145,39.38085353793129,39.73685057738885,2,85.7529902295235,0.03382542122204768,85.71916480830146,85.78681565074555,2,74.84765444509914,0.3416288142973798,74.50602563080176,75.18928325939652,2,96.65832601394789,0.27397797185328443,96.3843480420946,96.93230398580117,2,3.19296386181544,6.09895221370671e-06,3.1929577628632266,3.192969960767654,2,0.002179331892251257,1.2992335558934887e-05,0.0021663395566923218,0.0021923242278101916,2,43.07,0.0,43.07,43.07,2
MAPbI3_n3_[NH3+]CCCCC[NH3+],I,3,2,2,0.029045288361963406,0.00028779561621150584,0.0287574927457519,0.029333083978174912,2,3.2456512075828703e-06,1.6969142861257685e-09,3.2439542932967443e-06,3.247348121868996e-06,2,37.276713427595595,0.08271532232637924,37.193998105269216,37.359428749921975,2,106.72603267424199,0.455440846650653,106.27059182759135,107.18147352089265,2,82.46280781884258,0.41589368359225176,82.04691413525033,82.87870150243484,2,130.9892575296414,0.4949880097090471,130.49426951993237,131.48424553935047,2,3.1885266462359425,0.0001173941939032197,3.1884092520420393,3.1886440404298457,2,3.299757050247749e-05,1.968181090248976e-08,3.2977888691575e-05,3.301725231337998e-05,2,42.955,0.004999999999999005,42.95,42.96,2
MAPbI3_n3_[NH3+]CCCCC[NH3+],I,3,3,2,0.1817714687341565,0.0015691773763684136,0.1802022913577881,0.18334064611052492,2,0.00010596822615757098,2.341494849361354e-06,0.00010362673130820963,0.00010830972100693234,2,37.86882974907133,0.0706154931751044,37.79821425589623,37.939445242246435,2,107.4531893983311,0.2128515054472757,107.24033789288383,107.66604090377838,2,85.66337775621261,0.5109154274566166,85.15246232875599,86.17429318366922,2,129.2430010404496,0.9366184383511609,128.30638260209844,130.17961947880076,2,3.196422634561316,0.0002622266887941649,3.196160407872522,3.19668486125011,2,0.0010826859168035128,2.3745686086550023e-05,0.0010589402307169629,0.001106431602890063,2,43.230000000000004,0.010000000000001563,43.22,43.24,2
MAPbI3_n2_[NH3+]CCCCCC[NH3+],I,2,1,2,0.1822289096804357,0.01133335929654411,0.1708955503838916,0.1935622689769798,2,0.00011030720334546644,2.138122952897677e-05,8.892597381648968e-05,0.00013168843287444322,2,31.545534102697403,0.25990067574805664,31.285633426949346,31.80543477844546,2,96.6816128942703,0.4648194847165925,96.2167934095537,97.14643237898689,2,81.13744419064209,0.21601170582034968,80.92143248482174,81.35345589646244,2,112.22578159789849,1.145650675253549,111.08013092264494,113.37143227315204,2,3.1977493501865464,0.00078579913851895,3.1969635510480274,3.1985351493250653,2,0.0011278500536252287,0.00021808157587382298,0.0009097684777514057,0.0013459316294990517,2,43.36,0.00999999999999801,43.35,43.37,2
MAPbI3_n2_[NH3+]CCCCCC[NH3+],I,2,2,2,0.2707012783087748,0.030790045745552552,0.23991123256322222,0.3014913240543273,2,0.0002468896452140114,2.2907933499330085e-05,0.00022398171171468135,0.0002697975787133415,2,37.83283983230709,0.6404227193768293,37.19241711293026,38.473262551683916,2,86.75195285817044,15.024933129832945,71.7270197283375,101.77688598800339,2,67.5092957602537,15.193717293721072,52.31557846653264,82.70301305397479,2,105.99460995608715,14.856148965944811,91.13846099014233,120.85075892203196,2,3.203726924786139,2.505861768220541e-05,3.2037018661684566,3.203751983403821,2,0.002534038608778119,0.00023508432348751064,0.002298954285290608,0.0027691229322656294,2,43.540000000000006,0.05000000000000071,43.49,43.59,2
MAPbI3_n1_CC(C)(C[NH3+])C[NH3+],I,1,1,2,0.31202697334363183,0.0010210810976953866,0.31100589224593644,0.3130480544413272,2,0.00034488764003999485,1.8317475210117412e-06,0.0003430558925189831,0.00034671938756100656,2,42.78546078226351,0.1230921497389943,42.66236863252452,42.90855293200251,2,128.86059163035236,0.4932079165632075,128.36738371378914,129.35379954691555,2,86.50311179794396,0.34089054658262796,86.16222125136133,86.84400234452659,2,171.21807146276078,0.6455252865438297,170.57254617621695,171.8635967493046,2,3.2210111741683765,4.735970831126757e-05,3.2209638144600654,3.221058533876688,2,0.0035781786966341007,1.8898998580360376e-05,0.00355927969805374,0.003597077695214461,2,44.13,0.0,44.13,44.13,2
MAPbCl3_n3_[NH3+]CCC1=CC=C(CC[NH3+])C=C1,Cl,3,1,2,0.2544405461748833,0.05349478324531365,0.20094576292956967,0.30793532942019697,2,0.00037711462556356575,0.00019863857625113812,0.00017847604931242765,0.0005757532018147039,2,54.948904479539834,14.042878196121322,40.90602628341851,68.99178267566116,2,187.32063277453938,60.5955738410827,126.72505893345667,247.91620661562206,2,146.8061992678003,38.990167867263764,107.81603140053656,185.7963671350641,2,227.8350662812784,82.20097981490163,145.63408646637677,310.03604609618003,2,2.86574643741275,0.0006551225714868103,2.8650913148412633,2.866401559984237,2,0.0030978008753669113,0.0016327359192668022,0.0014650649561001093,0.0047305367946337135,2,30.810000000000002,0.2900000000000009,30.52,31.1,2
MAPbCl3_n3_[NH3+]CCC1=CC=C(CC[NH3+])C=C1,Cl,3,2,2,0.2787538131606486,0.06183438741701108,0.21691942574363754,0.3405882005776597,2,0.00046805222387838376,0.00019938211332563326,0.00026867011055275054,0.000667434337204017,2,58.13539894709206,8.758169086609868,49.37722986048219,66.89356803370192,2,176.1589776676882,28.900900839866722,147.25807682782147,205.0598785075549,2,122.53224338721769,15.074712086973435,107.45753130024426,137.60695547419112,2,229.7857119481587,42.727089592759995,187.0586223553987,272.5128015409187,2,2.8305884705676583,0.0036228293797220257,2.826965641187936,2.83421129994738,2,0.003754237945997759,0.0016070976908455683,0.0021471402551521907,0.005361335636843327,2,29.615000000000002,0.04499999999999993,29.57,29.66,2
MAPbCl3_n3_[NH3+]CCC1=CC=C(CC[NH3+])C=C1,Cl,3,3,2,0.4403927795603828,0.07584135416159143,0.3645514253987914,0.5162341337219742,2,0.0011490338675656745,0.00041994673072281985,0.0007290871368428545,0.0015689805982884943,2,65.61342179637131,7.765973893472093,57.84744790289922,73.3793956898434,2,195.83058579915826,15.728662544953735,180.10192325420454,211.559248344112,2,128.0534526378829,0.44651192427645015,127.60694071360646,128.49996456215936,2,263.60771896043366,31.010813165630992,232.59690579480264,294.6185321260646,2,2.8408222239697176,0.0031547547042951596,2.8376674692654222,2.8439769786740126,2,0.009280553236587727,0.0034096835700435546,0.005870869666544172,0.012690236806631281,2,29.86,0.129999999999999,29.73,29.99,2
MAPbCl3_n1_[NH3+]C1CCC([NH3+])CC1,Cl,1,1,2,0.9569129487090287,0.12665211474409555,0.8302608339649331,1.0835650634531242,2,0.005673444579979125,0.0013985713864066982,0.004274873193572427,0.007072015966385824,2,80.95407046469526,21.29976468332535,59.654305781369914,102.25383514802061,2,244.54562772134946,59.213513835240946,185.33211388610852,303.7591415565904,2,164.8446953045568,14.122122300557024,150.7225730039998,178.96681760511385,2,324.2465601381422,104.30490536992491,219.94165476821723,428.55146550806705,2,2.924971570837554,0.008712878391454737,2.916258692446099,2.9336844492290086,2,0.04861063639474044,0.012254700473797606,0.036355935920942835,0.060865336868538046,2,32.125,0.9050000000000011,31.22,33.03,2
