molecule,energy_eV,numb_carbons,numb_nitrogens,numb_hydrogens,family,parity
CC(C)(CC[NH3+])C(C)(C)CC[NH3+],-205.40703172,10,2,26,branch,even
[NH3+]CCCCCC[NH3+],-137.11831366,6,2,18,lineal,even
CC(C)(CCC[NH3+])CCC[NH3+],-188.49022561,9,2,24,branch,odd 
CC(C)(CCC[NH3+])C(C)(C)CCC[NH3+],-239.68893898,12,2,30,branch,even
[NH3+]C1CCC([NH3+])CC1,-129.72100752,6,2,16,cyclic,even
[NH3+]CCCCCCCCC[NH3+],-188.42385467,9,2,24,lineal,odd
[NH3+]CCCC[NH3+],-102.71394975,4,2,14,lineal,even
CC(C)(CC[NH3+])CC[NH3+],-154.18603206,7,2,20,branch,odd
[NH3+]CC1=CC=C(C[NH3+])C=C1,-144.91357426,8,2,14,benzene,even
[NH3+]CCCCC[NH3+],-119.9004908,5,2,16,lineal,odd
[NH3+]CCCCCCCCCC[NH3+],-205.48700074,10,2,26,lineal,even
[NH3+]CCC1CCC(CC[NH3+])CC1,-197.7105717,10,2,24,cyclic,even
[NH3+]CCC1=CC=C(CC[NH3+])C=C1,-174.85017724,10,2,18,benzene,even
CC(C)(C[NH3+])C(C)(C)C[NH3+],-171.16718275,8,2,22,branch,even
[NH3+]CC1CCC(C[NH3+])CC1,-163.65683647,8,2,20,cyclic,even
CC(C)(C[NH3+])C[NH3+],-120.13791333,5,2,16,branch,odd
CC(C)(CCCC[NH3+])C(C)(C)CCCC[NH3+],-273.96963262,14,2,34,branch,even
[NH3+]CCCC1CCC(CCC[NH3+])CC1,-232.03610252,12,2,28,cyclic,even
[NH3+]CCCC1=CC=C(CCC[NH3+])C=C1,-209.2911342,12,2,22,benzene,even
[NH3+]C1=CC=C([NH3+])C=C1,-106.77937656,6,2,10,benzene,even
[NH3+]CCCCCCCC[NH3+],-171.34456379,8,2,22,lineal,even
CC(C)(CCCC[NH3+])CCCC[NH3+],-222.86891444,11,2,28,branch,odd
[NH3+]CCCCCCC[NH3+],-154.15919643,7,2,20,lineal,odd
[NH3+]CCC[NH3+],-85.54443369,3,2,12,lineal,odd
