Experiment,Perovskite,Halogen,N_Slab,Molecule,Eslab,TotalAtoms,A,B,C,Alpha,Beta,Gamma,Emol,NCarbonsMol,NNitrogensMol,NHydrogensMol,FamilyMol,ParityMol,NormEnergy,MolAtoms,NormEmol
MAPbCl3_n2_[NH3+]CCCCCCC[NH3+],MAPbCl3,Cl,2,[NH3+]CCCCCCC[NH3+],-470.49691767,92.0,7.890156970649551,7.506654900022155,19.600294415864603,85.07914584515679,78.11307440829019,89.43866636275523,-154.15919643,7,2,20,lineal,odd,-1.7628100522826087,29,-5.315834359655173
MAPbCl3_n2_[NH3+]CCCCCCCCCC[NH3+],MAPbCl3,Cl,2,[NH3+]CCCCCCCCCC[NH3+],-573.42458916,110.0,7.709165092194147,7.8718538261256645,22.313174999795976,107.28403480242704,78.53064760250793,90.20845727886413,-205.48700074,10,2,26,lineal,even,-1.476823524363636,38,-5.407552651052632
MAPbCl3_n2_[NH3+]CCCC[NH3+],MAPbCl3,Cl,2,[NH3+]CCCC[NH3+],-367.3278189299999,74.0,7.736946873520357,7.847701105132506,16.59963962137432,89.8350837903907,89.26524505571805,90.06350671571428,-102.71394975,4,2,14,lineal,even,-2.187836749054053,20,-5.1356974875
MAPbCl3_n3_[NH3+]CC1CCC(C[NH3+])CC1,MAPbCl3,Cl,3,[NH3+]CC1CCC(C[NH3+])CC1,-564.2815820000001,118.0,7.96093190529042,7.97506003159193,22.42950701121235,92.3441767710212,92.04342345488745,89.3696381069176,-163.65683647,8,2,20,cyclic,even,-2.008202619152543,30,-5.455227882333333
MAPbCl3_n3_CC(C)(CCCC[NH3+])C(C)(C)CCCC[NH3+],MAPbCl3,Cl,3,CC(C)(CCCC[NH3+])C(C)(C)CCCC[NH3+],-784.9047352099999,158.0,7.913036675843158,8.2229930607849,27.894152960324963,76.41142426089586,89.72313759336052,91.43690645097519,-273.96963262,14,2,34,branch,even,-1.499781455506328,50,-5.4793926524000005
MAPbCl3_n2_CC(C)(CCCC[NH3+])CCCC[NH3+],MAPbCl3,Cl,2,CC(C)(CCCC[NH3+])CCCC[NH3+],-607.73789512,116.0,7.849600402778231,7.80005360562637,21.758107984229483,85.45679683201283,101.30398808188258,90.70459428177928,-222.86891444,11,2,28,branch,odd,-1.3965522951724134,41,-5.435827181463415
MAPbCl3_n2_CC(C)(C[NH3+])C[NH3+],MAPbCl3,Cl,2,CC(C)(C[NH3+])C[NH3+],-401.30019995,80.0,7.837388046606259,7.738631992733144,15.816977299367244,89.31903173302675,89.3188514985419,89.96461302732361,-120.13791333,5,2,16,branch,odd,-2.0128046661249996,23,-5.223387536086957
MAPbCl3_n1_CC(C)(C[NH3+])C(C)(C)C[NH3+],MAPbCl3,Cl,1,CC(C)(C[NH3+])C(C)(C)C[NH3+],-428.31649187,74.0,8.130825073208094,8.506739825494106,10.613611937871507,93.84162154416381,90.26684475194449,92.15634246527517,-171.16718275,8,2,22,branch,even,-1.1619206266216218,32,-5.3489744609375
MAPbCl3_n1_CC(C)(CCCC[NH3+])C(C)(C)CCCC[NH3+],MAPbCl3,Cl,1,CC(C)(CCCC[NH3+])C(C)(C)CCCC[NH3+],-634.62342536,110.0,7.73464196797296,8.681342309724162,17.07239471788938,67.79015515571085,91.46320762846932,92.13715348993928,-273.96963262,14,2,34,branch,even,-0.7880378192727273,50,-5.4793926524000005
MAPbCl3_n1_CC(C)(CCCC[NH3+])CCCC[NH3+],MAPbCl3,Cl,1,CC(C)(CCCC[NH3+])CCCC[NH3+],-532.5009244299999,92.0,7.88063707092548,7.628827461315386,16.255344072081535,91.99465646886586,70.59377328958999,90.92151636170297,-222.86891444,11,2,28,branch,odd,-0.9430771255434777,41,-5.435827181463415
MAPbCl3_n2_[NH3+]CC1=CC=C(C[NH3+])C=C1,MAPbCl3,Cl,2,[NH3+]CC1=CC=C(C[NH3+])C=C1,-443.21017173999996,82.0,7.824782473999988,7.725284253381369,17.79383823328914,90.99157863280153,91.31106223050037,89.88167950700382,-144.91357426,8,2,14,benzene,even,-1.870524673414634,24,-6.0380655941666665
MAPbCl3_n1_[NH3+]CCCCCC[NH3+],MAPbCl3,Cl,1,[NH3+]CCCCCC[NH3+],-360.88137536,62.0,7.6304532816967585,7.567673554651711,13.220529020929263,74.05197485245247,89.47034615421552,89.46081728354403,-137.11831366,6,2,18,lineal,even,-1.3974959361290318,26,-5.273781294615385
MAPbCl3_n1_[NH3+]CCCCCCC[NH3+],MAPbCl3,Cl,1,[NH3+]CCCCCCC[NH3+],-395.22005538,68.0,7.838705075022619,7.63331080258705,13.623568204559312,80.64193642963662,69.78711153733882,87.51577880353085,-154.15919643,7,2,20,lineal,odd,-1.2779656252941176,29,-5.315834359655173
