ID,Abbreviation,Alternative_abbreviations,Molecular_formula,SMILE,Common_name,IUPAC_name,CAS,Parent_IUPAC,Parent_SMILE,Parent_CAS,Common_source_compound,Source_compound_CAS,Chemical_formula,Number_of_occurances,Source
1,Cs,,Cs+,[Cs+] ,Cesium ion,Cesium(1+),18459-37-5,Cesium,[Cs],7440-46-2,CsI,7789-17-5,,7985.0,Perovskite database
2,K,,K+,[K+],Patassium ion,Potassium(+1),24203-36-9,Potassium,[K],2023695,KI,7681-11-0,,36.0,Perovskite database
3,La,,La+,[La+],Lanthanum ion,Lanthanum ion,,Lanthanum,[La],7439-91-0,La,7439-91-0,,6.0,Perovskite database
4,Li,,Li+,[Li+],Lithium ion,Lithium(+1),17341-24-1,Lithium,[Li],7439-93-2,LiI,10377-51-2,,4.0,Perovskite database
5,Na,,Na+,[Na+],Sodium ion,Sodium(+1),17341-25-2,Sodium,[Na],7440-23-5,NaI,7681-82-5,,6.0,Perovskite database
6,ThFA,,C5H9N2S+,[NH3+]C(N)c1cccs1,2-thiopheneformamidinium,1-(thiophen-2-yl)methanediamine,,thiophen-2-ylmethanediamine,C1=CSC(=C1)C(N)N,,C5H8N2S,1003-31-2,,2.0,Perovskite database
7,PyEA,,C7H11N2+,[NH3+]CCC1=CC=NC=C1,4-Pyridine-ethyl ammonium,2-pyridin-4-ylethylazanium,,4-(2-Aminoethyl)pyridine,C1=CN=CC=C1CCN,13258-63-4,C7H10N2,13258-63-4,,6.0,Perovskite database
8,NH4,,H4N+,[NH4+],Ammonium,Azanium,14798-03-9,Amonia,N,7664-41-7,NH4I,12027-06-4,,53.0,Perovskite database
9,Rb,,Rb+,[Rb+],Rubidium ion,Rubidium(+1),22537-38-8,Rubidium,[Rb],7440-17-7,RbI,7790-29-6,,,Perovskite database
10,PGA,BYA,C3H6N+,C#CC[NH3+],Propargylammonium,prop-2-ynylazanium,,prop-2-yn-1-amine,C#CCN,2450-71-7,C3H5N,2450-71-7,,2.0,Perovskite database
11,BYA,,C4H8N+,C#CCC[NH3+],3-butynylamine,but-3-ynylazanium,54930-25-5,but-3-yn-1-amine,C#CCCN,14044-63-4,C4H8ClN,88211-50-1,,1.0,Perovskite database
12,GU,,CH6N3+,C(=[NH2+])(N)N,Guanidinium,diaminomethylideneazanium,25215-10-5,guanidine,C(=N)(N)N,113-00-8,CH6N3I,19227-70-4,,108.0,Perovskite database
13,FA,,CH5N2+,C(=[NH2+])N,Formamidinium,aminomethylideneazanium,,methanimidamide,C(=N)N,463-52-5,CH5IN2,879643-71-7,,10871.0,Perovskite database
14,TFEA,"FTA, F3EA",C2H5F3N+,C(C(F)(F)F)[NH3+],"2,2,2-Trifluoroethylamine","2,2,2-trifluoroethylazanium",,"2,2,2-trifluoroethanamine",C(C(F)(F)F)N,753-90-2,CF3CH2NH2,753-90-2,CF3CH2NH3+,4.0,Perovskite database
15,EDA,DAE,C2H10N2+2,C(C[NH3+])[NH3+],Ethylenediammonium,2-azaniumylethylazanium,,"ethane-1,2-diamine",C(CN)N,107-15-3,C2H8N2,107-15-3,,,Perovskite database
