Index,perovskite_ion_type,abbreviation,alternative_abbreviations,molecular_formula,smile,common_name,iupac_name,cas_number,source_compound_iupac_name,source_compound_smile,source_compound_cas_number,number_of_occurances_in_the_perovskite_database,source
1,A,Cs,,Cs+,[Cs+] ,Cesium ion,Cesium(1+),18459-37-5,Cesium,[Cs],7440-46-2,7985.0,Perovskite database
2,A,K,,K+,[K+],Patassium ion,Potassium(+1),24203-36-9,Potassium,[K],7440-09-7,36.0,Perovskite database
3,A,La,,La+,[La+],Lanthanum ion,Lanthanum ion,,Lanthanum,[La],7439-91-0,6.0,Perovskite database
4,A,Li,,Li+,[Li+],Lithium ion,Lithium(+1),17341-24-1,Lithium,[Li],7439-93-2,4.0,Perovskite database
5,A,Na,,Na+,[Na+],Sodium ion,Sodium(+1),17341-25-2,Sodium,[Na],7440-23-5,6.0,Perovskite database
6,A,ThFA,,C5H9N2S+,[NH3+]C(N)c1cccs1,2-thiopheneformamidinium,1-(thiophen-2-yl)methanediamine,,thiophen-2-ylmethanediamine,C1=CSC(=C1)C(N)N,56-12-2,2.0,Perovskite database
7,A,PyEA,,C7H11N2+,[NH3+]CCC1=CC=NC=C1,4-Pyridine-ethyl ammonium,2-pyridin-4-ylethylazanium,,4-(2-Aminoethyl)pyridine,C1=CN=CC=C1CCN,13258-63-4,6.0,Perovskite database
8,A,NH4,,H4N+,[NH4+],Ammonium,Azanium,14798-03-9,Amonia,N,7664-41-7,53.0,Perovskite database
9,A,Rb,,Rb+,[Rb+],Rubidium ion,Rubidium(+1),22537-38-8,Rubidium,[Rb],7440-17-7,,Perovskite database
10,A,PGA,BYA,C3H6N+,C#CC[NH3+],Propargylammonium,prop-2-ynylazanium,,prop-2-yn-1-amine,C#CCN,2450-71-7,2.0,Perovskite database
11,A,BYA,,C4H8N+,C#CCC[NH3+],3-butynylamine,but-3-ynylazanium,54930-25-5,but-3-yn-1-amine,C#CCCN,14044-63-4,1.0,Perovskite database
12,A,GU,,CH6N3+,C(=[NH2+])(N)N,Guanidinium,diaminomethylideneazanium,25215-10-5,guanidine,C(=N)(N)N,113-00-8,108.0,Perovskite database
13,A,FA,,CH5N2+,C(=[NH2+])N,Formamidinium,aminomethylideneazanium,,methanimidamide,C(=N)N,463-52-5,10871.0,Perovskite database
14,A,TFEA,"FTA, F3EA",C2H5F3N+,C(C(F)(F)F)[NH3+],"2,2,2-Trifluoroethylamine","2,2,2-trifluoroethylazanium",,"2,2,2-trifluoroethanamine",C(C(F)(F)F)N,753-90-2,4.0,Perovskite database
15,A,EDA,DAE,C2H10N2+2,C(C[NH3+])[NH3+],Ethylenediammonium,2-azaniumylethylazanium,,"ethane-1,2-diamine",C(CN)N,107-15-3,,Perovskite database
16,A,PDA,"1.3-Pr(NH3)2, DAP, TN",C3H12N2+2,C(C[NH3+])C[NH3+],"1,3-diaminopropane",3-azaniumylpropylazanium,,"propane-1,3-diamine",C(CN)CN,109-76-2,1.0,Perovskite database
17,A,PFPEA,F5PEA,C8H7F5N+,C(C[NH3+])C1=C(C(=C(C(=C1F)F)F)F)F,Pentafluorophenethylammonium ,"2-(2,3,4,5,6-pentafluorophenyl)ethylazanium",,"2-(2,3,4,5,6-pentafluorophenyl)ethanamine",C(CN)C1=C(C(=C(C(=C1F)F)F)F)F,1583-76-2,8.0,Perovskite database
18,A,GABA,,C4H10NO2+,C(CC(=O)O)C[NH3+],Gamma-aminobutyric acid,3-carboxypropylazanium,,4-aminobutanoic acid,C(CC(=O)O)CN,,9.0,Perovskite database
19,A,BDA,,C4H14N2+2,C(CC[NH3+])C[NH3+],"1,4-butanediammonium",4-azaniumylbutylazanium,,"butane-1,4-diamine",C(CCN)CN,110-60-1,,Perovskite database
20,A,AVA,5-AVA,C5H12NO2+,C(CC[NH3+])CC(=O)O,5-ammoniumvaleric  acid,4-carboxybutylazanium,,5-aminopentanoic acid,C(CCN)CC(=O)O,660-88-8,57.0,Perovskite database
21,A,ACA,6-ACA,C6H14NO2+,C(CCC(=O)O)CC[NH3+],6-aminocaproic acid,5-carboxypentylazanium,,6-aminohexanoic acid,C(CCC(=O)O)CCN,60-32-2,1.0,Perovskite database
22,A,HDA,DAH,C6H18N2+2,C(CCC[NH3+])CC[NH3+],"1,6-diaminohexane",6-azaniumylhexylazanium,,"hexane-1,6-diamine",C(CCCN)CCN,124-09-4,1.0,Perovskite database
23,A,ODA,DAO,C8H22N2+2,C(CCCC[NH3+])CCC[NH3+],"1,8-Diammoniooctane",8-azaniumyloctylazanium,,"octane-1,8-diamine",C(CCCCN)CCCN,373-44-4,,Perovskite database
