ID,Abbreviation,Alternative_abbreviations,Molecular_formula,SMILE,Common_name,IUPAC_name,CAS,Parent_IUPAC,Parent_SMILE,Parent_CAS,Common_source_compound,Source_compound_CAS,Chemical_formula,Number_of_occurances
1,Pb,,Pb+2,[Pb+2],Lead,lead(2+),14280-50-3,Lead,[Pb],7439-92-1,PbI2,10101-63-0,Pb+2,42297
2,Sn,,Sn+2,[Sn+2],Tin,tin(2+),22541-90-8,Tin,[Sn],7440-31-5,SnI2,10294-70-9,Sn+2,1223
3,Bi,,Bi+3,[Bi+3],Bismuth ,bismuth(3+),23713-46-4,Bismuth ,[Bi],7440-69-9,BiI3,7787-64-6,Bi+3,366
4,Sb,,Sb+3,[Sb+3],Antimony,Antimony(3+),23713-48-6,Antimony,[Sb],7440-36-0,SbI3,7790-44-5,Sb+3,137
5,Ag,,Ag+,[Ag+],Silver,Silver(1+),14701-21-4,Silver,[Ag],7440-22-4,AgBr,7785-23-1,Ag+,57
6,Cu,,Cu+2,[Cu+2],Copper,Copper(2+),15158-11-9,Copper,[Cu],7440-50-8,CuBr2,7789-45-9,Cu+2,28
7,Ge,,Ge+2,[Ge+2],Germanium,Gemanium(2+),,Germanium,[Ge],7440-56-4,GeI2,13573-08-5,Ge+2,21
8,Sr,,Sr+2,[Sr+2],Strontium,Strontium(2+),22537-39-9,Strontium,[Sr],7440-24-6,SrI2,10476-86-5,Sr+2,20
9,Ba,,Ba+2,[Ba+2],Barium,Barium(2+),22541-12-4,Barium,[Ba],7440-39-3,BaI2,13718-50-8,Ba+2,20
10,Fe,,Fe+2,[Fe+2],Iron,Iron(2+),15438-31-0,Iron,[Fe],7439-89-6,FeI2,7783-86-0,Fe+2,19
11,Co,,Co+2,[Co+2],Cobolt,Cobolt(2+),22541-53-3,Cobolt,[Co],7440-48-4,CoI2,15238-00-3,Co+2,15
12,Zn,,Zn+2,[Zn+2],Zink,Zink(2+),23713-49-7,Zink,[Zn],7440-66-6,ZnI2,10139-47-6,Zn+2,14
13,Ni,,Ni+2,[Ni+2],Nickel,Nickel(2+),14701-22-5,Nickel,[Ni],7440-02-0,NiCl2,7718-54-9,Ni+2,12
14,Eu,,Eu+2,[Eu+2],Europium,Europium(2+),16910-54-6,Europium,[Eu],7440-53-1,EuI2,22015-35-6,Eu+2,12
15,Te,,Te+4,[Te+4],Telurium,Telurium(4+),22537-55-9,Telurium,[Te],13494-80-9,H6TeO6,7803-68-1,Te+4,11
16,Ca,,Ca+2,[Ca+2],Calcium,Calcium(2+),14127-61-8,Calcium,[Ca],7440-70-2,CaI2,10102-68-8,Ca+2,10
17,Mn,,Mn+2,[Mn+2],Manganese,Manganese(2+),16397-91-4,Manganese,[Mn],7439-96-5,MnI2,7790-33-2,Mn+2,10
18,Hg,,Hg+2,[Hg+2],Mercury,Mercury(2+),14302-87-5,Mercury,[Hg],7439-97-6,HgI2,7774-29-0,Hg+2,8
19,Pt,,Pt+4,[Pt+4],Platinum,Platinum(4+),22541-31-7,Platinum,[Pt],7440-06-04,PtI2,7790-39-8,Pt+4,7
20,Mg,,Mg+2,[Mg+2],Magnesium,Magnesium(2+),22537-22-0,Magnesium,[Mg],7439-95-4,MgCl2,7786-30-3,Mg+2,6
21,La,,La+3,[La+3],Lanthanum,Lanthanum(3+),16096-89-2,Lanthanum,[La],7439-91-0,LaCl3,10099-58-8,La+3,6
22,In,,In+3,[In+3],Indium,Indium(3+),22537-49-1,Indium,[In],7440-74-6,InCl3,10025-82-8,In+3,5
23,Tb,,Tb+3,[Tb+3],Terbium,Terbium(3+),22541-20-4,Terbium,[Tb],7440-27-9,TbCl3,10042-88-3,Tb+3,4
24,Nb,,Nb+5,[Nb+5],Niobium,Niobium(5+),7440-03-01,Niobium,[Nb],7440-03-01,C10H25NbO5,3236-82-6,Nb+5,4
25,Ti,,Ti+4,[Ti+4],Titanium,Titanium(4+),16043-45-1,Titanium,[Ti],7440-32-6,TiBr4,7789-68-6,Ti+4,3
26,Y,,Y+2,[Yt+2],Yttrium,Yttrium(2+),7440-65-5,Yttrium,[Y],7440-65-5,Y,7440-65-5,Y+2,2
27,Al,,Al+3,[Al+3],Aluminium,Aluminium(3+),22537-23-1,Aluminium,[Al],7429-90-5,AlCl3,7446-70-0,Al+3,1
28,Sm,,Sm+3,[Sm+3],Samarium,Samarium(3+),22541-17-9,Samarium,[Sm],7440-19-9,SmI3,13813-25-7,Sm+3,1
29,Cr,,Cr+3,[Cr+3],Chromium,Chromium(3+),16065-83-1,Chromium,[Cr],7440-47-3,CrI3,13569-75-0,Cr+3,1
30,Au,,Au+,[Au+],Gold,Gold(+),20681-14-5,Gold,[Au],7440-57-5,AuI,10294-31-2,Au+,1
31,Au,,Au+3,[Au+3],Gold,Gold(3+),16065-91-1,Gold,[Au],7440-57-5,AuI3,13453-24-2,Au+3,1
