angle,ideal_angle,extracted_angle,error
C1-C2-C3,109.86715069433345,109.12268032720456,0.7444703671288835
C1-C2-C4,109.63129313341852,109.83594738027672,0.20465424685819755
C1-C2-C8,109.69150829274375,109.69104036693764,0.00046792580610599543
C3-C2-C4,110.11778925156646,111.04662214758528,0.9288328960188181
C3-C2-C8,110.20802342764308,111.2931657918234,1.0851423641803137
C4-C2-C8,107.28576620962197,105.80665887997202,1.479107329649949
C2-C4-C5,115.5850557924932,117.93411119303157,2.3490554005383757
C4-C5-C6,113.64525193712292,109.95072508581335,3.6945268513095755
C5-C6-C7,109.4329370119044,112.27769842328152,2.844761411377121
N1-C7-C6,112.92369048292818,109.93553399285703,2.988156490071148
C2-C8-C9,115.80403118989317,118.06210274998983,2.258071560096667
C8-C9-C10,113.40864025666271,110.06259612118949,3.346044135473221
C9-C10-C11,109.68713026761715,111.66769760950437,1.9805673418872232
N2-C11-C10,112.92821077920946,110.57971779007676,2.3484929891327084
