angle,ideal_angle,extracted_angle,error
N1-C1-C2,111.24989832208695,111.0718450951366,0.17805322695035386
C1-C2-C3,110.83911519890518,110.99298611549631,0.1538709165911314
C2-C3-C10,120.3210993334023,120.06717535623508,0.2539239771672186
C2-C3-C4,121.08333269301505,121.48800827372078,0.40467558070572807
C10-C3-C4,118.58496043649374,118.39223217733338,0.1927282591603614
C3-C4-C5,120.82581868003253,120.61737042195118,0.20844825808134715
C4-C5-C6,120.58344765172903,120.98703206816552,0.40358441643648746
C5-C6-C9,118.58333353106379,118.39605490066813,0.18727863039565307
C5-C6-C7,120.6283772699735,120.08839942839694,0.5399778415765581
C9-C6-C7,120.77581217144838,121.46267455309723,0.6868623816488508
C6-C7-C8,110.92636989053267,111.00478913751428,0.07841924698161051
N2-C8-C7,111.27195610563668,111.07491397388195,0.19704213175472773
C6-C9-C10,120.83056046413674,120.61727439201677,0.21328607211997053
C3-C10-C9,120.58993772964767,120.98976749197156,0.3998297623238898
