angle,ideal_angle,extracted_angle,error
C1-C2-C4,109.01901403687808,107.84591600741375,1.1730980294643274
C1-C2-C3,108.1530715605274,108.99525599115672,0.8421844306293309
C1-C2-C7,110.56896990277626,109.91097584546485,0.6579940573114129
C4-C2-C3,108.23903312723685,108.88044428924727,0.6414111620104137
C4-C2-C7,109.97225972310554,111.07073946511423,1.098479742008692
C3-C2-C7,110.82346243834667,110.08065860058882,0.7428038377578474
C2-C4-C5,115.65894406292614,114.00295530885784,1.6559887540683036
C4-C5-C6,110.59213977632636,113.29030192927014,2.6981621529437803
N1-C6-C5,111.93574652875537,109.28150264727599,2.6542438814793883
C2-C7-C9,111.04260384381725,110.62382352838858,0.4187803154286627
C2-C7-C8,110.66722394267171,111.2907755225033,0.6235515798315845
C2-C7-C10,109.4463006972046,109.75258533961684,0.30628464241223696
C9-C7-C8,108.08503700314247,108.30756260079784,0.22252559765536262
C9-C7-C10,108.49786373218105,109.40453150323528,0.9066677710542308
C8-C7-C10,109.0459476272716,107.3825684657075,1.6633791615641087
C7-C10-C11,116.39420096173907,116.01406782536695,0.3801331363721232
C10-C11-C12,109.7852553291686,109.27044537907321,0.5148099500953975
N2-C12-C11,112.05975462069863,111.1221224848401,0.9376321358585216
