angle,ideal_angle,extracted_angle,error
N1-C1-C6,113.82377815788466,119.09541813281017,5.271639974925506
N1-C1-C2,113.82787553064888,118.78419525132134,4.956319720672454
C6-C1-C2,116.33738557895634,122.06768479202807,5.730299213071731
C1-C2-C3,121.70053867810151,118.97175813811091,2.728780539990595
C2-C3-C4,121.68198132653649,118.79074876715116,2.8912325593853296
N2-C4-C3,113.94642112944925,120.47934315580666,6.5329220263574115
N2-C4-C5,113.93654505199075,117.32703724818887,3.3904921961981245
C3-C4-C5,116.39237751697364,122.18478883759632,5.792411320622676
C4-C5-C6,121.66545931502303,119.04617081721828,2.619288497804746
C1-C6-C5,121.71338732017249,118.9383732580115,2.7750140621609916
