angle,ideal_angle,extracted_angle,error
N1-C1-C2,111.83570328964315,111.60469806894542,0.23100522069772467
C1-C2-C3,111.47457652382523,115.14363732072212,3.6690607968968862
C2-C3-C4,112.83904502684932,109.68871254787048,3.1503324789788394
C3-C4-C5,121.13173474098414,120.9510000229046,0.18073471807954888
C3-C4-C12,120.8196677166274,120.78290083055374,0.036766886073650085
C5-C4-C12,117.96405201857623,118.08846471728071,0.12441269870448934
C4-C5-C6,120.88027222174058,120.86817355057303,0.012098671167549924
C5-C6-C7,121.04870973676412,121.10795841199622,0.05924867523209798
C6-C7-C8,121.06733277833082,120.32806560197727,0.7392671763535503
C6-C7-C11,118.11941257505461,117.84193304398136,0.2774795310732543
C8-C7-C11,120.77180748124844,121.8294343226191,1.0576268413706487
C7-C8-C9,111.83035999699459,114.7781578410996,2.9477978441050112
C8-C9-C10,115.41044899060542,111.10668049470893,4.303768495896492
N2-C10-C9,113.42061506833333,110.23874567618195,3.181869392151384
C7-C11-C12,120.81516149089663,121.0297925239847,0.21463103308806808
C4-C12-C11,121.15179477295996,121.02648742878998,0.12530734416998257
