angle,ideal_angle,extracted_angle,error
N1-C1-C2,112.38652080365866,111.73388546569447,0.6526353379641847
C1-C2-C3,113.51386518394936,113.12273508168816,0.3911301022612008
C2-C3-C4,116.44032193869398,116.75811283658308,0.31779089788909687
C3-C4-C5,113.20637418886368,112.92199343574163,0.2843807531220506
C3-C4-C12,114.78731786687719,114.89880791066038,0.11149004378319205
C5-C4-C12,109.46800609339222,109.4356668373745,0.03233925601772114
C4-C5-C6,111.91389435161254,112.49809147763175,0.5841971260192054
C5-C6-C7,110.45477979532627,110.23377425460676,0.22100554071951706
C6-C7-C11,109.36737287222282,108.99760837204614,0.3697645001766716
C6-C7-C8,114.29854711887347,114.79752669646871,0.4989795775952359
C11-C7-C8,113.40184049956048,112.82075073642137,0.5810897631391043
C7-C8-C9,115.922512944196,116.52468903795948,0.6021760937634753
C8-C9-C10,109.69244817317582,108.98449564516014,0.7079525280156815
N2-C10-C9,112.38807673731479,112.49319727390333,0.1051205365885437
C7-C11-C12,112.05732487546796,112.34354817386384,0.2862232983958819
C4-C12-C11,110.2581206437796,110.77388771933654,0.515767075556937
