bond,ideal_length,extracted_length,error
N1-C1,1.5124736707362907,1.4906152486764097,0.021858422059880978
N2-C10,1.5132586518866264,1.4933074934940047,0.019951158392621737
C1-C2,1.5244891691055928,1.5196807273434556,0.004808441762137239
C2-C3,1.5332220270037182,1.5300886996071141,0.003133327396604102
C3-C4,1.53070975758777,1.527637250788579,0.0030725067991910215
C4-C5,1.530465291509776,1.5299295700869773,0.000535721422798785
C5-C6,1.5301516835289326,1.5269062646476488,0.0032454188812838236
C6-C7,1.5303572533492071,1.5305807665756612,0.00022351322645408622
C7-C8,1.529988067039215,1.527441308932344,0.0025467581068709944
C8-C9,1.5335239855933556,1.530090266004182,0.0034337195891736005
C9-C10,1.5237523648978193,1.5208765635730142,0.0028758013248051384
