bond,ideal_length,extracted_length,error
N1-C1,1.5088929572826728,1.4925576762018862,0.016335281080786634
N2-C9,1.5120705059545665,1.4920468263818343,0.02002367957273221
C1-C2,1.522497061494137,1.5191452867936306,0.0033517747005065157
C2-C3,1.530093842447204,1.525320623033274,0.00477321941392983
C3-C4,1.5286846784457861,1.5267985135951856,0.001886164850600558
C4-C5,1.5280281802152806,1.525459498421619,0.0025686817936616535
C5-C6,1.5281489608616001,1.525948275635572,0.0022006852260281207
C6-C7,1.5292993702130493,1.5263471136520332,0.0029522565610160534
C7-C8,1.5317164112730393,1.5256380566388696,0.006078354634169614
C8-C9,1.5234979797278478,1.5186224380967845,0.004875541631063296
