bond,ideal_length,extracted_length,error
N1-C7,1.5106746939275908,1.4929963430696775,0.01767835085791325
N2-C11,1.5123144024414321,1.4936808449949157,0.018633557446516402
C1-C2,1.5394840469967823,1.5360427709473774,0.0034412760494049177
C2-C3,1.5383992607297856,1.53773060309657,0.0006686576332155525
C2-C4,1.5519694661464505,1.549481720337369,0.0024877458090815097
C2-C8,1.5516880993402298,1.5475232946696604,0.004164804670569344
C4-C5,1.531503267551437,1.5278807747892558,0.0036224927621812952
C5-C6,1.5329653199460858,1.5298566767118809,0.0031086432342048997
C6-C7,1.5247711186134776,1.5175336938135329,0.007237424799944714
C8-C9,1.5317192723939246,1.5269896073483027,0.004729665045621889
C9-C10,1.5335451032576397,1.5306338696119297,0.0029112336457099985
C10-C11,1.5248707170733404,1.5196312613183907,0.005239455754949773
