bond,ideal_length,extracted_length,error
N1-C6,1.5141571009205232,1.4985745194470856,0.015582581473437607
N2-C9,1.5141389936327625,1.5000666908648779,0.014072302767884626
C1-C2,1.538764937639122,1.5340840760652217,0.004680861573900241
C2-C4,1.5511126478948747,1.547664784015877,0.003447863878997648
C2-C3,1.5385626536922843,1.5363874540517968,0.002175199640487513
C2-C7,1.5507663582858682,1.552591276305949,0.00182491802008089
C4-C5,1.535276457816007,1.532360241234453,0.002916216581553943
C5-C6,1.5223775962673598,1.5247000071641512,0.002322410896791416
C7-C8,1.5361217317100104,1.528343056518569,0.0077786751914414864
C8-C9,1.523036303264964,1.5205029479634615,0.00253335530150256
