angle,ideal_angle,extracted_angle,error
N1-C1-C2,114.5449873614182,114.2005208415847,0.34446651983348886
C1-C2-C8,113.40575685594574,113.44862915524537,0.04287229929963132
C1-C2-C3,112.93214200030475,114.81606968680525,1.883927686500499
C8-C2-C3,112.39802347681356,110.77705491895767,1.620968557855889
C2-C3-C4,110.96265348897684,113.77307456553955,2.8104210765627045
C3-C4-C5,111.20041485387266,114.07661679751868,2.8762019436460236
C4-C5-C7,112.35381681823166,110.66278557695877,1.6910312412728956
C4-C5-C6,112.62192329375826,115.05633372673938,2.4344104329811245
C7-C5-C6,113.61780463907253,112.5009877823544,1.1168168567181311
N2-C6-C5,114.583349898512,114.48962822094167,0.09372167757032912
C5-C7-C8,113.18858989162491,110.90588070209051,2.282709189534401
C2-C8-C7,113.10619990127195,109.3972558715563,3.708944029715653
