bond,ideal_length,extracted_length,error
N1-C1,1.512288702956514,1.4964579378365503,0.01583076511996362
N2-C10,1.5176898526570684,1.4938396545844754,0.02385019807259292
C1-C2,1.522898643991745,1.5119021393298053,0.010996504661939577
C2-C3,1.5483544492591457,1.5336819896871678,0.014672459571977825
C3-C4,1.5066442126710602,1.50607064144845,0.0005735712226102585
C4-C5,1.4067538806663356,1.4012816972237836,0.005472183442551959
C4-C12,1.4025640075752956,1.3994698629322053,0.003094144643090324
C5-C6,1.3963476709287332,1.3924007716810511,0.003946899247682101
C6-C7,1.4008525268585832,1.4038488943892053,0.002996367530622157
C7-C8,1.5073124545765217,1.5120011857555422,0.004688731179020467
C7-C11,1.4063991517055001,1.4009303840979137,0.005468767607586411
C8-C9,1.5381533851161735,1.5310564849123185,0.0070969002038550055
C9-C10,1.5222306149448177,1.5187366330995553,0.003493981845262395
C11-C12,1.3949200207792232,1.396933044620562,0.0020130238413387236
