angle,ideal_angle,extracted_angle,error
N1-C1-C2,112.63289795432378,110.28978771680666,2.3431102375171236
C1-C2-C3,110.43152910344742,112.83083525836341,2.3993061549159904
C2-C3-C4,113.69470418077479,112.0683800942691,1.62632408650569
C3-C4-C5,112.36534048666095,114.51459486010027,2.1492543734393195
C4-C5-C6,114.34609713609096,111.76569274788474,2.580404388206219
C5-C6-C7,112.53254143572046,115.5347774536264,3.0022360179059433
C6-C7-C8,114.03009259529136,111.38056715381393,2.6495254414774365
C7-C8-C9,112.28740832566552,114.56590072512155,2.2784923994560273
C8-C9-C10,111.42873397645587,110.22630785635538,1.2024261201004975
N2-C10-C9,112.07334197013552,112.11216242370722,0.038820453571702274
