bond,ideal_length,extracted_length,error
N1-C6,1.5165510543722516,1.493969172161675,0.022581882210576554
N2-C12,1.5136918830845194,1.493941988721057,0.019749894363462417
C1-C2,1.5424047404875294,1.5190198269196393,0.023384913567890075
C2-C4,1.557608341227388,1.5519795361461466,0.005628805081241417
C2-C3,1.5424939552885408,1.541264907493205,0.0012290477953358359
C2-C7,1.6014175549161402,1.5667638339344234,0.03465372098171682
C4-C5,1.538270837434492,1.531069015878042,0.007201821556449994
C5-C6,1.525324582217075,1.5171259275611892,0.008198654655885651
C7-C9,1.5419568397818846,1.51901436851817,0.022942471263714515
C7-C8,1.5422855822685357,1.5412709272652505,0.0010146550032852364
C7-C10,1.5560155156899433,1.5519414932803037,0.0040740224096396105
C10-C11,1.5368667931497473,1.5310658553614958,0.005800937788251526
C11-C12,1.5251295905197095,1.517122372232806,0.008007218286903539
