angle,ideal_angle,extracted_angle,error
C1-C2-C5,110.89237693413615,110.029059218932,0.8633177152041469
C1-C2-C3,108.53521956556486,108.77390784414044,0.23868827857558017
C1-C2-C4,110.2274763587511,109.0571349125318,1.170341446219311
C5-C2-C3,111.48150455344587,112.01830639845213,0.5368018450062522
C5-C2-C4,106.82552806993853,108.87143406085036,2.045905990911834
C3-C2-C4,108.85649001885454,108.02934121129223,0.8271488075623097
N1-C4-C2,114.81476018710873,111.73203305835204,3.0827271287566873
C2-C5-C6,111.52197156492784,111.68635867111088,0.16438710618304242
C2-C5-C7,110.9373708576206,110.30609295408065,0.631277903539953
C2-C5-C8,106.67607813273052,106.81184754908732,0.13576941635679418
C6-C5-C7,108.48302936614584,108.26497223641307,0.21805712973277025
C6-C5-C8,108.98214705466133,110.07009665295831,1.0879495982969871
C7-C5-C8,110.22024220551845,109.69427157074001,0.5259706347784316
N2-C8-C5,114.91907247439828,113.9780816243873,0.9409908500109765
