angle,ideal_angle,extracted_angle,error
C1-C2-C8,110.89509571245993,109.80073247655224,1.094363235907693
C1-C2-C3,108.00481208895594,106.89173198366781,1.1130801052881338
C1-C2-C4,108.6816471978943,111.67187727585237,2.99023007795806
C8-C2-C3,110.57615590481984,111.64192367750513,1.065767772685291
C8-C2-C4,109.70805388654013,110.17967655488957,0.4716226683494398
C3-C2-C4,108.91849213994037,106.58907873867611,2.3294134012642616
C2-C4-C5,116.88374038356832,114.67076176881841,2.2129786147499146
C4-C5-C6,111.5191263059794,112.73000373265644,1.210877426677044
C5-C6-C7,110.69206255272525,110.23811053397627,0.4539520187489785
N1-C7-C6,112.23894697560121,110.86921017942477,1.36973679617644
C2-C8-C11,109.67297384442625,111.63051837573651,1.957544531310262
C2-C8-C10,110.65321385643995,109.24721269008714,1.4060011663528087
C2-C8-C9,110.95641892129551,110.99020832445787,0.03378940316235912
C11-C8-C10,109.22812515748657,109.15896361282766,0.06916154465891111
C11-C8-C9,108.32624454986617,108.2696656598575,0.056578890008680105
C10-C8-C9,107.94425314428058,107.43641235736278,0.5078407869177965
C8-C11-C12,116.8297826074224,115.1802357977857,1.6495468096367034
C11-C12-C13,111.5669555871581,110.92083080098891,0.6461247861691959
C12-C13-C14,110.77995100348448,111.6716830583124,0.8917320548279122
N2-C14-C13,112.35489094510335,109.56448333708248,2.790407608020871
