bond,ideal_length,extracted_length,error
N1-C7,1.5116759619512523,1.4893257475805504,0.02235021437070195
N2-C14,1.5128479177403946,1.4895737271031746,0.023274190637220027
C1-C2,1.5423388240126792,1.521037630003536,0.02130119400914321
C2-C8,1.601671282209294,1.562274554091181,0.0393967281181129
C2-C3,1.5427027351641258,1.5332562993549534,0.009446435809172371
C2-C4,1.5540777445991327,1.5502271421130522,0.00385060248608049
C4-C5,1.53302767492437,1.5202031177865176,0.012824557137852466
C5-C6,1.5340081016232732,1.5213364829770386,0.012671618646234561
C6-C7,1.523574814741085,1.5149803985544414,0.008594416186643583
C8-C11,1.5549019560778248,1.544433763182016,0.010468192895808803
C8-C10,1.5423280813943856,1.5179001283335958,0.02442795306078982
C8-C9,1.5426815286883693,1.5315250267951122,0.01115650189325712
C11-C12,1.5332182340398035,1.525798933056101,0.00741930098370247
C12-C13,1.5345422919129796,1.5178672889013707,0.016675003011608958
C13-C14,1.523924350695923,1.5132478826337263,0.010676468062196687
