angle,ideal_angle,extracted_angle,error
C1-C2-C3,109.86715069433345,109.03868209200638,0.8284686023270638
C1-C2-C4,109.63129313341852,110.39936676237677,0.7680736289582484
C1-C2-C8,109.69150829274375,111.03908588565888,1.3475775929151297
C3-C2-C4,110.11778925156646,110.7897842638369,0.6719950122704432
C3-C2-C8,110.20802342764308,110.50302927566374,0.2950058480206508
C4-C2-C8,107.28576620962197,105.03716261125405,2.2486035983679216
C2-C4-C5,115.5850557924932,117.50894993524766,1.9238941427544631
C4-C5-C6,113.64525193712292,111.45104985093676,2.1942020861861664
C5-C6-C7,109.4329370119044,109.07552743984321,0.3574095720611865
N1-C7-C6,112.92369048292818,111.76945939431027,1.1542310886179052
C2-C8-C9,115.80403118989317,117.93395693316353,2.1299257432703627
C8-C9-C10,113.40864025666271,110.00379315928787,3.404847097374841
C9-C10-C11,109.68713026761715,114.18317207240776,4.496041804790607
N2-C11-C10,112.92821077920946,110.22168224906372,2.7065285301457465
