angle,ideal_angle,extracted_angle,error
C1-C2-C4,109.01901403687808,106.72573810363401,2.293275933244061
C1-C2-C3,108.1530715605274,111.51202039674028,3.358948836212889
C1-C2-C7,110.56896990277626,109.45748170561757,1.1114881971586925
C4-C2-C3,108.23903312723685,107.6129102239678,0.6261229032690494
C4-C2-C7,109.97225972310554,111.38507299127959,1.4128132681740482
C3-C2-C7,110.82346243834667,110.1022912640426,0.721171174304061
C2-C4-C5,115.65894406292614,114.99336474096597,0.6655793219601662
C4-C5-C6,110.59213977632636,110.69803605937258,0.10589628304622067
N1-C6-C5,111.93574652875537,109.77418036181277,2.161566166942606
C2-C7-C9,111.04260384381725,110.5976591187255,0.44494472509174443
C2-C7-C8,110.66722394267171,110.69051343833617,0.02328949566445715
C2-C7-C10,109.4463006972046,111.31265466941797,1.8663539722133606
C9-C7-C8,108.08503700314247,111.67534225907559,3.5903052559331172
C9-C7-C10,108.49786373218105,106.50378424160476,1.9940794905762829
C8-C7-C10,109.0459476272716,105.9011463248997,3.144801302371903
C7-C10-C11,116.39420096173907,113.42690376792213,2.967297193816947
C10-C11-C12,109.7852553291686,110.39790183971077,0.612646510542163
N2-C12-C11,112.05975462069863,109.49806817538125,2.5616864453173775
