angle,ideal_angle,extracted_angle,error
N1-C1-C6,110.6909154899846,108.19276762458833,2.4981478653962768
N1-C1-C2,110.68206400116131,109.1927158509546,1.489348150206709
C6-C1-C2,112.29464251846471,109.56164903980024,2.7329934786644685
C1-C2-C3,109.87138434113412,109.89614375365893,0.024759412524815616
C2-C3-C4,109.83010323499734,111.34346642142062,1.5133631864232768
N2-C4-C3,110.69838309348273,109.10108289399548,1.5973001994872504
N2-C4-C5,110.74684727020306,108.98578963113927,1.761057639063793
C3-C4-C5,112.24406435999711,109.39636317425213,2.847701185744981
C4-C5-C6,109.78772020804233,109.85080764383146,0.06308743578912868
C1-C6-C5,109.84658146054096,112.0742569649006,2.227675504359638
