angle,ideal_angle,extracted_angle,error
N1-C1-C2,111.24989832208695,109.80433246716052,1.4455658549264285
C1-C2-C3,110.83911519890518,114.59709331180744,3.757978112902265
C2-C3-C10,120.3210993334023,123.36402853857952,3.0429292051772165
C2-C3-C4,121.08333269301505,118.85421075031172,2.2291219427033298
C10-C3-C4,118.58496043649374,117.73591675443684,0.8490436820569016
C3-C4-C5,120.82581868003253,121.42412708372044,0.5983084036879092
C4-C5-C6,120.58344765172903,120.84740130805257,0.26395365632353673
C5-C6-C9,118.58333353106379,117.6591436469185,0.9241898841452922
C5-C6-C7,120.6283772699735,122.80084623078963,2.1724689608161327
C9-C6-C7,120.77581217144838,119.50200121200952,1.2738109594388618
C6-C7-C8,110.92636989053267,112.81463546949045,1.8882655789577854
N2-C8-C7,111.27195610563668,110.79161689718494,0.4803392084517384
C6-C9-C10,120.83056046413674,121.52539413057478,0.6948336664380435
C3-C10-C9,120.58993772964767,120.79452440980357,0.20458668015589865
