bond,ideal_length,extracted_length,error
N1-C1,1.5118299646875062,1.4892521441900768,0.0225778204974294
N2-C8,1.512176894117184,1.4847083329864816,0.027468561130702396
C1-C2,1.5320110776581142,1.52818132309982,0.0038297545582941517
C2-C3,1.509418388936872,1.5089752642683176,0.00044312466855433996
C3-C10,1.405518329289554,1.3975019699755777,0.008016359313976151
C3-C4,1.3991255428709102,1.3971579436489163,0.0019675992219938543
C4-C5,1.3993755798875551,1.3907911853066046,0.008584394580950505
C5-C6,1.4049863245241445,1.3993794033928846,0.005606921131259934
C6-C9,1.399726029150401,1.3953163602079885,0.004409668942412459
C6-C7,1.509618700652168,1.507931460622858,0.0016872400293099776
C7-C8,1.5322092150558646,1.5205253218446584,0.01168389321120622
C9-C10,1.3985703990912282,1.391627203881276,0.006943195209952124
