angle,ideal_angle,extracted_angle,error
N1-C1-C2,112.38652080365866,112.05777819031476,0.3287426133438913
C1-C2-C3,113.51386518394936,113.53626443077839,0.022399246829024833
C2-C3-C4,116.44032193869398,114.39730251748483,2.043019421209152
C3-C4-C5,113.20637418886368,114.38181903912684,1.1754448502631618
C3-C4-C12,114.78731786687719,113.20029822903251,1.5870196378446764
C5-C4-C12,109.46800609339222,108.6476605376543,0.8203455557379158
C4-C5-C6,111.91389435161254,111.5970111867769,0.3168831648356445
C5-C6-C7,110.45477979532627,109.93222162054306,0.5225581747832138
C6-C7-C11,109.36737287222282,110.08715710273171,0.7197842305088926
C6-C7-C8,114.29854711887347,115.0992484120261,0.8007012931526276
C11-C7-C8,113.40184049956048,111.91184002119238,1.4900004783681027
C7-C8-C9,115.922512944196,115.99017718216736,0.06766423797135701
C8-C9-C10,109.69244817317582,108.4529022924522,1.2395458807236253
N2-C10-C9,112.38807673731479,111.68593400676214,0.7021427305526515
C7-C11-C12,112.05732487546796,111.6965684435405,0.3607564319274559
C4-C12-C11,110.2581206437796,108.97813238171545,1.2799882620641512
