angle,ideal_angle,extracted_angle,error
C1-C2-C4,109.93983388287657,109.60077940065477,0.33905448222179757
C1-C2-C3,110.02116362858406,108.96118834155472,1.0599752870293457
C1-C2-C7,109.97538033101982,108.9522281161887,1.0231522148311143
C4-C2-C3,110.01745082033902,110.7085427697318,0.691091949392785
C4-C2-C7,106.77222078128531,106.38740127692978,0.3848195043555336
C3-C2-C7,110.06281598812697,112.17691126388264,2.1140952757556732
C2-C4-C5,115.15524451576519,116.02704492376954,0.8718004080043471
C4-C5-C6,111.67654255727156,109.16784147464023,2.508701082631333
N1-C6-C5,110.92377113836758,111.0698790579871,0.14610791961951008
C2-C7-C8,115.45097458233346,115.79705219386648,0.3460776115330191
C7-C8-C9,111.20371248012748,112.8291190051361,1.6254065250086285
N2-C9-C8,111.40084398960703,109.16286573329965,2.237978256307372
