bond,ideal_length,extracted_length,error
N1-C6,1.5141571009205232,1.4906507884907785,0.02350631242974477
N2-C9,1.5141389936327625,1.4906404030266425,0.02349859060612003
C1-C2,1.538764937639122,1.5365290051782854,0.0022359324608365316
C2-C4,1.5511126478948747,1.5422051482151649,0.00890749967970983
C2-C3,1.5385626536922843,1.5326862203057305,0.005876433386553748
C2-C7,1.5507663582858682,1.5458586042975528,0.004907753988315333
C4-C5,1.535276457816007,1.5262931534723057,0.008983304343701315
C5-C6,1.5223775962673598,1.513456038048602,0.008921558218757841
C7-C8,1.5361217317100104,1.5270801610557883,0.009041570654222175
C8-C9,1.523036303264964,1.521062684207702,0.0019736190572621215
