bond,ideal_length,extracted_length,error
N1-C5,1.514974904651807,1.4891666971054005,0.02580820754640656
N2-C10,1.513284622535752,1.4869814741957394,0.02630314834001246
C1-C2,1.542882272029222,1.5346953428459416,0.008186929183280345
C2-C6,1.601003019543577,1.5779973979336832,0.023005621609893723
C2-C3,1.5427922808099532,1.529252741987098,0.01353953882285519
C2-C4,1.5554561281074544,1.544371998542487,0.011084129564967293
C4-C5,1.5282836848012398,1.5199482968251996,0.008335387976040165
C6-C9,1.5554897971641846,1.5467239949862612,0.008765802177923332
C6-C8,1.5430068684496328,1.5261472870225719,0.0168595814270609
C6-C7,1.5428075081944834,1.5261924218436416,0.016615086350841857
C9-C10,1.5278078577502827,1.5259975007702165,0.0018103569800662633
