angle,ideal_angle,extracted_angle,error
N1-C1-C6,113.82377815788466,118.72605717342499,4.90227901554033
N1-C1-C2,113.82787553064888,118.448218303161,4.620342772512117
C6-C1-C2,116.33738557895634,122.47877294866684,6.1413873697105
C1-C2-C3,121.70053867810151,118.20035436923433,3.5001843088671762
C2-C3-C4,121.68198132653649,119.45350190100676,2.228479425529727
N2-C4-C3,113.94642112944925,116.50210351728488,2.555682387835631
N2-C4-C5,113.93654505199075,120.90250475299229,6.9659597010015375
C3-C4-C5,116.39237751697364,122.4260623614485,6.0336848444748625
C4-C5-C6,121.66545931502303,118.18524207962864,3.4802172353943917
C1-C6-C5,121.71338732017249,119.13262390876594,2.5807634114065507
