bond,ideal_length,extracted_length,error
N1-C1,1.5190417553856495,1.4948416691811803,0.024200086204469118
N2-C8,1.5175320858057553,1.4919016380692298,0.025630447736525452
C1-C2,1.5215399197945765,1.5148933212320836,0.006646598562492834
C2-C3,1.5363956794307403,1.5301447755942676,0.006250903836472643
C3-C10,1.5334145448017693,1.544386524981729,0.010971980179959706
C3-C4,1.5536939335967945,1.5422625596626482,0.011431373934146283
C4-C5,1.5312246305533381,1.5276328993468227,0.0035917312065154583
C5-C6,1.53651173689418,1.5517427475371932,0.015231010643013132
C6-C7,1.5394815033106597,1.5379842204517598,0.0014972828588999398
C6-C9,1.559254038459639,1.5337814676380082,0.02547257082163079
C7-C8,1.5265093402711403,1.5124178636047645,0.01409147666637578
C9-C10,1.5306798705721492,1.5226613543691043,0.008018516203044834
