bond,ideal_length,extracted_length,error
N1-C6,1.5141571009205232,1.4962677515868679,0.01788934933365538
N2-C9,1.5141389936327625,1.4959248308770676,0.018214162755694874
C1-C2,1.538764937639122,1.5358370561809074,0.002927881458214543
C2-C4,1.5511126478948747,1.5482475654576282,0.00286508243724648
C2-C3,1.5385626536922843,1.5351256374677325,0.0034370162245518365
C2-C7,1.5507663582858682,1.5467959874351562,0.003970370850711946
C4-C5,1.535276457816007,1.5244664623298685,0.01080999548613848
C5-C6,1.5223775962673598,1.5149475720997971,0.0074300241675626655
C7-C8,1.5361217317100104,1.523183874382345,0.012937857327665503
C8-C9,1.523036303264964,1.5148844306461797,0.008151872618784362
