angle,ideal_angle,extracted_angle,error
N1-C1-C6,113.82377815788466,118.76520526454794,4.9414271066632836
N1-C1-C2,113.82787553064888,119.10919590413742,5.2813203734885406
C6-C1-C2,116.33738557895634,122.12350224321638,5.786116664260035
C1-C2-C3,121.70053867810151,119.15600620232549,2.5445324757760233
C2-C3-C4,121.68198132653649,118.72045174089331,2.961529585643177
N2-C4-C3,113.94642112944925,118.77973073083118,4.833309601381927
N2-C4-C5,113.93654505199075,119.09454125323491,5.15799620124416
C3-C4-C5,116.39237751697364,122.12389125234252,5.731513735368878
C4-C5-C6,121.66545931502303,119.15445690157983,2.511002413443194
C1-C6-C5,121.71338732017249,118.72137736856367,2.9920099516088214
