angle,ideal_angle,extracted_angle,error
N1-C1-C6,110.6909154899846,108.63476356235012,2.056151927634488
N1-C1-C2,110.68206400116131,109.62306183994075,1.0590021612205618
C6-C1-C2,112.29464251846471,111.750712369401,0.5439301490637121
C1-C2-C3,109.87138434113412,110.22641218486598,0.355027843731861
C2-C3-C4,109.83010323499734,110.79482488723629,0.9647216522389499
N2-C4-C3,110.69838309348273,108.62926161166824,2.0691214818144914
N2-C4-C5,110.74684727020306,109.61806531891365,1.1287819512894117
C3-C4-C5,112.24406435999711,111.75970986600345,0.4843544939936635
C4-C5-C6,109.78772020804233,110.2308477749651,0.4431275669227688
C1-C6-C5,109.84658146054096,110.78510222585629,0.9385207653153316
