bond,ideal_length,extracted_length,error
N1-C1,1.5232830222259162,1.502213353408536,0.02106966881738015
N2-C6,1.5233225405099025,1.5005625259164292,0.02276001459347321
C1-C2,1.5234691648675476,1.5236063333787047,0.00013716851115708195
C2-C8,1.5518687568790874,1.5493253357637697,0.00254342111531769
C2-C3,1.5458785464974887,1.5350505976955666,0.01082794880192206
C3-C4,1.5304978417096005,1.5203075729852737,0.010190268724326712
C4-C5,1.5470089217583511,1.5360535246042835,0.010955397154067681
C5-C7,1.5508184934199922,1.5487392860347593,0.0020792073852329285
C5-C6,1.5246546836447055,1.5175936510729875,0.007061032571717973
C7-C8,1.5361236656825634,1.5285103781757143,0.007613287506849087
