bond,ideal_length,extracted_length,error
N1-C1,1.5190417553856495,1.4984778926536213,0.02056386273202815
N2-C8,1.5175320858057553,1.506806523761427,0.010725562044328285
C1-C2,1.5215399197945765,1.5135148181615181,0.008025101633058362
C2-C3,1.5363956794307403,1.5263228830677384,0.010072796363001846
C3-C10,1.5334145448017693,1.5277853170671893,0.005629227734579967
C3-C4,1.5536939335967945,1.5409142618719036,0.012779671724890918
C4-C5,1.5312246305533381,1.5360709090447622,0.00484627849142405
C5-C6,1.53651173689418,1.527058473393416,0.009453263500764031
C6-C7,1.5394815033106597,1.5374059364127022,0.002075566897957515
C6-C9,1.559254038459639,1.5439553738234253,0.015298664636213655
C7-C8,1.5265093402711403,1.5188858191325436,0.007623521138596656
C9-C10,1.5306798705721492,1.5338697922160358,0.0031899216438866507
