angle,ideal_angle,extracted_angle,error
C1-C2-C3,109.86715069433345,109.93754343068736,0.07039273635390941
C1-C2-C4,109.63129313341852,110.45631380647606,0.8250206730575371
C1-C2-C8,109.69150829274375,110.42496554417325,0.733457251429499
C3-C2-C4,110.11778925156646,110.65475213581266,0.5369628842461935
C3-C2-C8,110.20802342764308,110.60994727393707,0.4019238462939825
C4-C2-C8,107.28576620962197,104.6568228727651,2.6289433368568638
C2-C4-C5,115.5850557924932,119.1159390194954,3.5308832270022066
C4-C5-C6,113.64525193712292,108.54072512934964,5.104526807773283
C5-C6-C7,109.4329370119044,113.90481310194087,4.471876090036474
N1-C7-C6,112.92369048292818,108.66599854852485,4.257691934403326
C2-C8-C9,115.80403118989317,118.90506103483938,3.1010298449462113
C8-C9-C10,113.40864025666271,108.79928489936778,4.60935535729493
C9-C10-C11,109.68713026761715,113.54435425229913,3.85722398468198
N2-C11-C10,112.92821077920946,108.89801362838728,4.03019715082219
