bond,ideal_length,extracted_length,error
N1-C7,1.5106746939275908,1.493371735853712,0.017302958073878827
N2-C11,1.5123144024414321,1.4930857906555832,0.019228611785848893
C1-C2,1.5394840469967823,1.532298678814226,0.007185368182556218
C2-C3,1.5383992607297856,1.5306791307323109,0.007720129997474734
C2-C4,1.5519694661464505,1.5398192743176105,0.012150191828840029
C2-C8,1.5516880993402298,1.5401063284817822,0.011581770858447582
C4-C5,1.531503267551437,1.5247304033069893,0.006772864244447785
C5-C6,1.5329653199460858,1.5246147031098578,0.008350616836227953
C6-C7,1.5247711186134776,1.5142952179656417,0.010475900647835878
C8-C9,1.5317192723939246,1.524160629533416,0.007558642860508558
C9-C10,1.5335451032576397,1.5247375228259803,0.008807580431659412
C10-C11,1.5248707170733404,1.5143067699470534,0.010563947126287054
