bond,ideal_length,extracted_length,error
N1-C6,1.5165510543722516,1.4974098921598928,0.01914116221235873
N2-C12,1.5136918830845194,1.4965410859369683,0.017150797147551078
C1-C2,1.5424047404875294,1.536537909297465,0.005866831190064481
C2-C4,1.557608341227388,1.5496971576514356,0.00791118357595244
C2-C3,1.5424939552885408,1.5341329141356732,0.008361041152867621
C2-C7,1.6014175549161402,1.5802328938119996,0.021184661104140634
C4-C5,1.538270837434492,1.5260376288500308,0.012233208584461197
C5-C6,1.525324582217075,1.514918535402848,0.010406046814226855
C7-C9,1.5419568397818846,1.530950615061614,0.011006224720270685
C7-C8,1.5422855822685357,1.5302806865327834,0.012004895735752363
C7-C10,1.5560155156899433,1.5445129843331118,0.011502531356831547
C10-C11,1.5368667931497473,1.5296681167375823,0.007198676412164984
C11-C12,1.5251295905197095,1.513716538911187,0.011413051608522462
