angle,ideal_angle,extracted_angle,error
N1-C1-C2,112.56927464126565,113.07280945615193,0.5035348148862795
C1-C2-C3,116.62091546190176,115.0542021672587,1.5667132946430655
C2-C3-C10,113.02547489115824,109.95943543950867,3.066039451649573
C2-C3-C4,110.49170652058723,113.08140280256866,2.589696281981432
C10-C3-C4,111.20190815543785,109.97936420348208,1.222543951955771
C3-C4-C5,113.4654272045081,112.12320501010387,1.3422221944042292
C4-C5-C6,112.02548729453564,112.96643645881728,0.9409491642816477
C5-C6-C7,114.25944479465616,109.35506909080951,4.904375703846654
C5-C6-C9,110.56837143219423,109.70311612332526,0.8652553088689672
C7-C6-C9,109.65523213543878,113.78296981992659,4.127737684487812
C6-C7-C8,118.20270539713343,115.61808684149639,2.584618555637036
N2-C8-C7,114.76097811761578,110.46393268340856,4.29704543420722
C6-C9-C10,113.82024426991534,111.09506849803918,2.7251757718761525
C3-C10-C9,111.1932804881794,113.3978496065794,2.204569118400002
