bond,ideal_length,extracted_length,error
N1-C1,1.512288702956514,1.505169671603607,0.007119031352907035
N2-C10,1.5176898526570684,1.4915221021551415,0.02616775050192688
C1-C2,1.522898643991745,1.5158285460950596,0.0070700978966853345
C2-C3,1.5483544492591457,1.540878958026204,0.007475491232941778
C3-C4,1.5066442126710602,1.506229977105643,0.00041423556541708706
C4-C5,1.4067538806663356,1.4017981130400543,0.004955767626281249
C4-C12,1.4025640075752956,1.4008388246967616,0.0017251828785340706
C5-C6,1.3963476709287332,1.3958924413255498,0.00045522960318344907
C6-C7,1.4008525268585832,1.4027885521498615,0.0019360252912783427
C7-C8,1.5073124545765217,1.5070407907227066,0.0002716638538151628
C7-C11,1.4063991517055001,1.4012827765234461,0.005116375182053989
C8-C9,1.5381533851161735,1.5344201187473325,0.0037332663688409706
C9-C10,1.5222306149448177,1.5151502077984393,0.007080407146378365
C11-C12,1.3949200207792232,1.3932336276365997,0.0016863931426234213
