angle,ideal_angle,extracted_angle,error
N1-C1-C2,112.63289795432378,113.56515895671056,0.932261002386781
C1-C2-C3,110.43152910344742,107.65974046198096,2.7717886414664576
C2-C3-C4,113.69470418077479,116.0207380657485,2.326033884973711
C3-C4-C5,112.36534048666095,110.47368110347567,1.891659383185285
C4-C5-C6,114.34609713609096,115.47535703313474,1.1292598970437808
C5-C6-C7,112.53254143572046,111.8807459669175,0.651795468802959
C6-C7-C8,114.03009259529136,113.00208826889454,1.0280043263968253
C7-C8-C9,112.28740832566552,113.56136969954474,1.2739613738792173
C8-C9-C10,111.42873397645587,113.2700166228689,1.8412826464130205
N2-C10-C9,112.07334197013552,112.04233950265831,0.03100246747720803
