bond,ideal_length,extracted_length,error
N1-C1,1.5124736707362907,1.4918998153272105,0.02057385540908019
N2-C10,1.5132586518866264,1.4983361012464596,0.014922550640166898
C1-C2,1.5244891691055928,1.5196047623103968,0.0048844067951960835
C2-C3,1.5332220270037182,1.5304987907062302,0.002723236297488052
C3-C4,1.53070975758777,1.5259185990961703,0.004791158491599612
C4-C5,1.530465291509776,1.5275278147825841,0.0029374767271919122
C5-C6,1.5301516835289326,1.5243868125002626,0.00576487102866996
C6-C7,1.5303572533492071,1.528509936587728,0.0018473167614792008
C7-C8,1.529988067039215,1.523296508431118,0.0066915586080968925
C8-C9,1.5335239855933556,1.5278545297428265,0.005669455850529026
C9-C10,1.5237523648978193,1.5171289562273322,0.006623408670487052
