bond,ideal_length,extracted_length,error
N1-C7,1.5106746939275908,1.4919804296862473,0.01869426424134346
N2-C11,1.5123144024414321,1.4910740281581607,0.021240374283271413
C1-C2,1.5394840469967823,1.5323333860871864,0.0071506609095959295
C2-C3,1.5383992607297856,1.5313099625092212,0.007089298220564366
C2-C4,1.5519694661464505,1.5430590785328515,0.008910387613598969
C2-C8,1.5516880993402298,1.5425905124670798,0.009097586873149988
C4-C5,1.531503267551437,1.5268371110116659,0.004666156539771205
C5-C6,1.5329653199460858,1.5267990810729093,0.006166238873176466
C6-C7,1.5247711186134776,1.5166390439606297,0.008132074652847932
C8-C9,1.5317192723939246,1.5261561272955084,0.005563145098416156
C9-C10,1.5335451032576397,1.5280674872727327,0.005477615984907036
C10-C11,1.5248707170733404,1.5158962631247657,0.008974453948574768
