angle,ideal_angle,extracted_angle,error
C1-C2-C4,109.93983388287657,110.38048872993251,0.4406548470559386
C1-C2-C3,110.02116362858406,109.54445814326441,0.4767054853196555
C1-C2-C7,109.97538033101982,109.98105711665339,0.005676785633568215
C4-C2-C3,110.01745082033902,110.18959585522298,0.17214503488395394
C4-C2-C7,106.77222078128531,106.67022862866195,0.10199215262336736
C3-C2-C7,110.06281598812697,110.0394558251248,0.0233601630021667
C2-C4-C5,115.15524451576519,115.29711442825746,0.1418699124922682
C4-C5-C6,111.67654255727156,112.36563423574022,0.6890916784686567
N1-C6-C5,110.92377113836758,109.1435316757708,1.7802394625967821
C2-C7-C8,115.45097458233346,115.22585187514004,0.22512270719342098
C7-C8-C9,111.20371248012748,112.27105108935265,1.0673386092251747
N2-C9-C8,111.40084398960703,109.31923062206498,2.0816133675420474
