angle,ideal_angle,extracted_angle,error
N1-C1-C2,112.56927464126565,112.06956447339975,0.4997101678658993
C1-C2-C3,116.62091546190176,116.05315168865611,0.5677637732456446
C2-C3-C10,113.02547489115824,114.48863382275034,1.4631589315921048
C2-C3-C4,110.49170652058723,110.45954995061258,0.03215656997464578
C10-C3-C4,111.20190815543785,110.51361120513337,0.6882969503044762
C3-C4-C5,113.4654272045081,113.60226878182314,0.13684157731503888
C4-C5-C6,112.02548729453564,111.9580198413933,0.06746745314234204
C5-C6-C7,114.25944479465616,112.66340725042281,1.5960375442333543
C5-C6-C9,110.56837143219423,111.03262248987329,0.46425105767906416
C7-C6-C9,109.65523213543878,111.09277774867378,1.4375456132350024
C6-C7-C8,118.20270539713343,116.00770316007231,2.195002237061118
N2-C8-C7,114.76097811761578,113.9893529653771,0.7716251522386841
C6-C9-C10,113.82024426991534,112.74444820248422,1.0757960674311136
C3-C10-C9,111.1932804881794,109.25129852526032,1.9419819629190727
