bond,ideal_length,extracted_length,error
N1-C1,1.512288702956514,1.5010723488454487,0.011216354111065252
N2-C10,1.5176898526570684,1.4946958385285565,0.022994014128511875
C1-C2,1.522898643991745,1.5161240303976857,0.006774613594059176
C2-C3,1.5483544492591457,1.5371332452204152,0.011221204038730503
C3-C4,1.5066442126710602,1.5082921172753,0.0016479046042399137
C4-C5,1.4067538806663356,1.4020844008570321,0.004669479809303434
C4-C12,1.4025640075752956,1.400739090816919,0.0018249167583765935
C5-C6,1.3963476709287332,1.3954693239473026,0.0008783469814306333
C6-C7,1.4008525268585832,1.4025416153759176,0.0016890885173344028
C7-C8,1.5073124545765217,1.5091137824325578,0.001801327856036039
C7-C11,1.4063991517055001,1.4013910200011168,0.005008131704383301
C8-C9,1.5381533851161735,1.5331368280755602,0.005016557040613323
C9-C10,1.5222306149448177,1.521717476734909,0.0005131382099086146
C11-C12,1.3949200207792232,1.3943093733552692,0.0006106474239540027
