bond,ideal_length,extracted_length,error
N1-C1,1.5088929572826728,1.4928121731689787,0.01608078411369407
N2-C9,1.5120705059545665,1.4922161248586059,0.019854381095960605
C1-C2,1.522497061494137,1.518606275225625,0.0038907862685120254
C2-C3,1.530093842447204,1.5266535623377702,0.0034402801094337576
C3-C4,1.5286846784457861,1.5269914523288568,0.0016932261169293472
C4-C5,1.5280281802152806,1.5265054941634837,0.001522686051796951
C5-C6,1.5281489608616001,1.5268250134684036,0.0013239473931965229
C6-C7,1.5292993702130493,1.5265498150010086,0.0027495552120406774
C7-C8,1.5317164112730393,1.5268503975105112,0.004866013762528043
C8-C9,1.5234979797278478,1.518230419213585,0.0052675605142629145
