angle,ideal_angle,extracted_angle,error
C1-C2-C8,110.89509571245993,111.01481532352905,0.11971961106911522
C1-C2-C3,108.00481208895594,107.84729483950689,0.15751724944905732
C1-C2-C4,108.6816471978943,108.28835657148805,0.39329062640625523
C8-C2-C3,110.57615590481984,110.67067853047718,0.09452262565733349
C8-C2-C4,109.70805388654013,110.17825462427948,0.4702007377393471
C3-C2-C4,108.91849213994037,108.7580481307346,0.16044400920577573
C2-C4-C5,116.88374038356832,116.11105750465218,0.7726828789161431
C4-C5-C6,111.5191263059794,112.32918990440075,0.8100635984213511
C5-C6-C7,110.69206255272525,109.431846012727,1.260216539998254
N1-C7-C6,112.23894697560121,112.12372257200748,0.11522440359372865
C2-C8-C11,109.67297384442625,109.78766095665509,0.11468711222883599
C2-C8-C10,110.65321385643995,111.0568539903082,0.4036401338682509
C2-C8-C9,110.95641892129551,110.44306541562634,0.5133535056691727
C11-C8-C10,109.22812515748657,108.27097941554757,0.9571457419390015
C11-C8-C9,108.32624454986617,109.06975965042638,0.7435151005602023
C10-C8-C9,107.94425314428058,108.15187313543467,0.2076199911540897
C8-C11-C12,116.8297826074224,117.53927499227677,0.7094923848543715
C11-C12-C13,111.5669555871581,110.78665185691105,0.7803037302470557
C12-C13-C14,110.77995100348448,111.52576121817755,0.7458102146930656
N2-C14-C13,112.35489094510335,110.89560326256063,1.4592876825427226
