bond,ideal_length,extracted_length,error
N1-C7,1.5116759619512523,1.4953705115802995,0.016305450370952768
N2-C14,1.5128479177403946,1.4924289256807608,0.020418992059633823
C1-C2,1.5423388240126792,1.5380994902436464,0.004239333769032738
C2-C8,1.601671282209294,1.6008171928081756,0.0008540894011184186
C2-C3,1.5427027351641258,1.5421887358002404,0.000513999363885409
C2-C4,1.5540777445991327,1.5539618772147823,0.00011586738435043209
C4-C5,1.53302767492437,1.5324916742036467,0.0005360007207233508
C5-C6,1.5340081016232732,1.5318510717367764,0.0021570298864967974
C6-C7,1.523574814741085,1.5220216657585273,0.0015531489825577616
C8-C11,1.5549019560778248,1.551639045005489,0.0032629110723356725
C8-C10,1.5423280813943856,1.5386461473696853,0.003681934024700295
C8-C9,1.5426815286883693,1.541182548761696,0.0014989799266733606
C11-C12,1.5332182340398035,1.5286392099801132,0.004579024059690351
C12-C13,1.5345422919129796,1.529920683120416,0.004621608792563681
C13-C14,1.523924350695923,1.5177552624989132,0.006169088197009787
