angle,ideal_angle,extracted_angle,error
C1-C2-C3,109.86715069433345,109.67756917476807,0.1895815195653796
C1-C2-C4,109.63129313341852,110.45998813471594,0.8286950012974188
C1-C2-C8,109.69150829274375,110.07595472747403,0.38444643473027895
C3-C2-C4,110.11778925156646,109.77993756713599,0.33785168443047553
C3-C2-C8,110.20802342764308,110.17372763419696,0.03429579344611966
C4-C2-C8,107.28576620962197,106.6327417133941,0.6530244962278715
C2-C4-C5,115.5850557924932,115.9807555251568,0.39569973266360137
C4-C5-C6,113.64525193712292,113.18302080402029,0.46223113310263386
C5-C6-C7,109.4329370119044,109.13842249838088,0.29451451352352365
N1-C7-C6,112.92369048292818,112.28392696353764,0.6397635193905415
C2-C8-C9,115.80403118989317,116.22675087368157,0.42271968378840086
C8-C9-C10,113.40864025666271,113.10210466605656,0.30653559060614555
C9-C10-C11,109.68713026761715,109.34669395617911,0.3404363114380402
N2-C11-C10,112.92821077920946,112.67997250550661,0.248238273702853
