bond,ideal_length,extracted_length,error
N1-C6,1.5165510543722516,1.4964922216246155,0.02005883274763609
N2-C12,1.5136918830845194,1.500922279125712,0.01276960395880744
C1-C2,1.5424047404875294,1.5393907216863005,0.0030140188012288682
C2-C4,1.557608341227388,1.5520017626032274,0.005606578624160585
C2-C3,1.5424939552885408,1.5348724223260788,0.007621532962462041
C2-C7,1.6014175549161402,1.5937037382179216,0.0077138166982186895
C4-C5,1.538270837434492,1.5283608941229931,0.009909943311498859
C5-C6,1.525324582217075,1.518009903599383,0.007314678617691861
C7-C9,1.5419568397818846,1.53915536715244,0.0028014726294445236
C7-C8,1.5422855822685357,1.5432045030973451,0.0009189208288093997
C7-C10,1.5560155156899433,1.5547155555116743,0.001299960178269055
C10-C11,1.5368667931497473,1.5312125217238488,0.005654271425898472
C11-C12,1.5251295905197095,1.522052960149645,0.003076630370064448
