angle,ideal_angle,extracted_angle,error
C1-C2-C5,110.89237693413615,110.7001907560534,0.19218617808274985
C1-C2-C3,108.53521956556486,108.89925452467583,0.36403495911096684
C1-C2-C4,110.2274763587511,109.6918810624561,0.5355952962949999
C5-C2-C3,111.48150455344587,112.10832638104665,0.6268218276007786
C5-C2-C4,106.82552806993853,107.82357240555648,0.9980443356179478
C3-C2-C4,108.85649001885454,107.54475925995366,1.3117307589008789
N1-C4-C2,114.81476018710873,113.12342174934695,1.691338437761786
C2-C5-C6,111.52197156492784,111.71408034921338,0.19210878428553713
C2-C5-C7,110.9373708576206,111.06618377833797,0.1288129207173654
C2-C5-C8,106.67607813273052,107.6355898301112,0.9595116973806768
C6-C5-C7,108.48302936614584,109.65850509759919,1.1754757314533464
C6-C5-C8,108.98214705466133,108.06484027401729,0.91730678064404
C7-C5-C8,110.22024220551845,108.58465106929528,1.6355911362231694
N2-C8-C5,114.91907247439828,113.90936045668087,1.0097120177174048
