angle,ideal_angle,extracted_angle,error
N1-C1-C6,113.82377815788466,117.49809529725138,3.674317139366721
N1-C1-C2,113.82787553064888,120.297290053889,6.469414523240118
C6-C1-C2,116.33738557895634,121.99945756351063,5.662071984554288
C1-C2-C3,121.70053867810151,118.73727649329203,2.96326218480948
C2-C3-C4,121.68198132653649,119.12482132352042,2.5571600030160653
N2-C4-C3,113.94642112944925,118.42919040949707,4.482769280047819
N2-C4-C5,113.93654505199075,119.17058594163775,5.234040889647005
C3-C4-C5,116.39237751697364,122.03766179626311,5.64528427928947
C4-C5-C6,121.66545931502303,118.72838372468482,2.9370755903382104
C1-C6-C5,121.71338732017249,119.26105263216122,2.4523346880112626
