bond,ideal_length,extracted_length,error
N1-C1,1.5118299646875062,1.4910117631753588,0.020818201512147416
N2-C8,1.512176894117184,1.4878947466323371,0.024282147484846917
C1-C2,1.5320110776581142,1.524219552711892,0.00779152494622215
C2-C3,1.509418388936872,1.5080188110124322,0.0013995779244397877
C3-C10,1.405518329289554,1.3998289354203235,0.005689393869230397
C3-C4,1.3991255428709102,1.4028142167343132,0.0036886738634029914
C4-C5,1.3993755798875551,1.3941076769959075,0.00526790289164758
C5-C6,1.4049863245241445,1.4008413608898664,0.004144963634278076
C6-C9,1.399726029150401,1.402589485478614,0.0028634563282130543
C6-C7,1.509618700652168,1.5071204936970355,0.002498206955132476
C7-C8,1.5322092150558646,1.5250050395449313,0.0072041755109333305
C9-C10,1.3985703990912282,1.3953649045657912,0.003205494525436947
