bond,ideal_length,extracted_length,error
N1-C1,1.5169861688179969,1.495491331143246,0.0214948376747508
N2-C10,1.512455964620227,1.500223682395397,0.012232282224829971
C1-C2,1.5222492017594467,1.5198011778018665,0.0024480239575801477
C2-C3,1.5317986084337722,1.5311812830443325,0.0006173253894397046
C3-C4,1.533405934960724,1.5327010836611399,0.0007048512995841971
C4-C5,1.5447424662391775,1.5335151282539723,0.011227337985205255
C4-C12,1.5337617177020724,1.5444434091609316,0.010681691458859222
C5-C6,1.5464883176255708,1.5443411438365484,0.002147173789022405
C6-C7,1.535084994854222,1.5435934457517047,0.008508450897482644
C7-C11,1.5452922635370225,1.5320212555609878,0.013271007976034754
C7-C8,1.5353142178074053,1.5324836968208306,0.0028305209865746583
C8-C9,1.5341772973401815,1.5297456673822447,0.004431629957936778
C9-C10,1.5234222536185889,1.5194905583967768,0.003931695221812026
C11-C12,1.547211288053577,1.5425863316445656,0.004624956409011505
