bond,ideal_length,extracted_length,error
N1-C1,1.5124736707362907,1.495028993242401,0.01744467749388967
N2-C10,1.5132586518866264,1.4983842754838428,0.014874376402783662
C1-C2,1.5244891691055928,1.5256774631474923,0.0011882940418994625
C2-C3,1.5332220270037182,1.5308004242212405,0.0024216027824777164
C3-C4,1.53070975758777,1.5294226042041612,0.0012871533836087412
C4-C5,1.530465291509776,1.5314922188947526,0.0010269273849765614
C5-C6,1.5301516835289326,1.5305998402060943,0.00044815667716169294
C6-C7,1.5303572533492071,1.5301113525655636,0.00024590078364350454
C7-C8,1.529988067039215,1.5298421772409965,0.00014588979821850145
C8-C9,1.5335239855933556,1.5305206438885615,0.0030033417047941047
C9-C10,1.5237523648978193,1.5219902690443488,0.0017620958534705355
