angle,ideal_angle,extracted_angle,error
N1-C1-C6,113.82377815788466,117.83769790551202,4.013919747627355
N1-C1-C2,113.82787553064888,119.60352460270809,5.77564907205921
C6-C1-C2,116.33738557895634,122.49662261179404,6.159237032837694
C1-C2-C3,121.70053867810151,118.72389805405096,2.976640624050546
C2-C3-C4,121.68198132653649,118.77676972009054,2.9052116064459454
N2-C4-C3,113.94642112944925,117.85097881945411,3.9045576900048644
N2-C4-C5,113.93654505199075,119.58975893885506,5.653213886864307
C3-C4-C5,116.39237751697364,122.49824984660286,6.105872329629221
C4-C5-C6,121.66545931502303,118.72549871413734,2.9399606008856836
C1-C6-C5,121.71338732017249,118.77894620838174,2.934441111790747
